Table ID,Table Name,Table Schema,Purpose,Columns Count,Primary Key Column,Foreign Key Columns,Actual FK Targets,Reverse References,Datatype Summary,Nullable/Required Fields,Associated Module,Parent Module,RLS Status,RLS Enabled,Triggers,Functions,Views,Storage Links,Important Columns,Code Evidence,Duplicate/Overlap Tables,Data Risk,Technical Confirmation,Verification Status,Reviewer Name,Review Date,Evidence Reference,Notes,Action Needed
TBL-050,quiz_answers,public,Database table storing quiz answers data.,6,id,questionId; userId,questionId->questions(id); userId->users(id),None,"timestamp without time zone, integer, text, jsonb",6 Required / 0 Nullable,SYSTEM,SYSTEM,Disabled (Gapped),false,None,None,None,None,"id, userId",src/app/api/... or prisma/schema.prisma (quiz_answers),None,High - RLS Disabled,Strong Evidence,Strong Evidence,Unassigned (Pending WD),N/A,"Table_List.csv line for quiz_answers, Table_Columns.csv (6 cols)",Table schema present in database exports and Prisma/Supabase bindings.,WD sign-off required for live production RLS enforcement.
TBL-051,rajya_scores,public,Database table storing rajya scores data.,16,id,userId,userId->users(id),None,"timestamp without time zone, double precision, text, jsonb",5 Required / 11 Nullable,SYSTEM,SYSTEM,Disabled (Gapped),false,None,None,None,None,"id, userId",src/app/api/... or prisma/schema.prisma (rajya_scores),None,High - RLS Disabled,Strong Evidence,Strong Evidence,Unassigned (Pending WD),N/A,"Table_List.csv line for rajya_scores, Table_Columns.csv (16 cols)",Table schema present in database exports and Prisma/Supabase bindings.,WD sign-off required for live production RLS enforcement.
TBL-052,reminders,public,Notification/reminder schedules (Static code present; NOT implemented in current live build),12,id,userId,userId->users(id),None,"timestamp without time zone, date, integer, text",9 Required / 3 Nullable,SYSTEM/REMINDERS,SYSTEM,Disabled (Gapped),false,None,None,None,None,"id, userId, type, status",src/app/api/... or prisma/schema.prisma (reminders),Static code present; Live feature NOT implemented,High - RLS Disabled,Strong Evidence,Not Implemented in Current Build,Unassigned (Pending WD),N/A,"Table_List.csv line for reminders, Table_Columns.csv (12 cols)",Reminders feature is not implemented in live project. Reclassified from Confirmed bug.,Confirm PM scope for post-MVP implementation.
TBL-053,scheduled_reports,public,Database table storing scheduled reports data.,10,id,createdBy,createdBy->admin_users(id),None,"boolean, text, timestamp without time zone, USER-DEFINED, jsonb",9 Required / 1 Nullable,SYSTEM,SYSTEM,Disabled (Gapped),false,None,None,None,None,id,src/app/api/... or prisma/schema.prisma (scheduled_reports),None,High - RLS Disabled,Strong Evidence,Strong Evidence,Unassigned (Pending WD),N/A,"Table_List.csv line for scheduled_reports, Table_Columns.csv (10 cols)",Table schema present in database exports and Prisma/Supabase bindings.,WD sign-off required for live production RLS enforcement.
TBL-054,submodules,public,Database table storing submodules data.,15,id,moduleId,moduleId->modules(id),questions(submoduleId); tutorials(submoduleId); user_chapter_progress(submoduleId),"text, integer, timestamp without time zone, USER-DEFINED, jsonb",11 Required / 4 Nullable,SYSTEM,SYSTEM,Disabled (Gapped),false,None,None,None,None,"id, name",src/app/api/... or prisma/schema.prisma (submodules),None,High - RLS Disabled,Strong Evidence,Strong Evidence,Unassigned (Pending WD),N/A,"Table_List.csv line for submodules, Table_Columns.csv (15 cols)",Table schema present in database exports and Prisma/Supabase bindings.,WD sign-off required for live production RLS enforcement.
TBL-055,subscription_analytics,public,Database table storing subscription analytics data.,10,id,userId,userId->users(id),None,"timestamp without time zone, double precision, integer, text",9 Required / 1 Nullable,SYSTEM,SYSTEM,Disabled (Gapped),false,None,None,None,None,"id, userId",src/app/api/... or prisma/schema.prisma (subscription_analytics),None,High - RLS Disabled,Strong Evidence,Strong Evidence,Unassigned (Pending WD),N/A,"Table_List.csv line for subscription_analytics, Table_Columns.csv (10 cols)",Table schema present in database exports and Prisma/Supabase bindings.,WD sign-off required for live production RLS enforcement.
TBL-056,subscriptions,public,Database table storing subscriptions data.,22,id,userId,userId->users(id),None,"boolean, double precision, text, date, timestamp without time zone, USER-DEFINED",12 Required / 10 Nullable,SYSTEM,SYSTEM,Disabled (Gapped),false,None,None,None,None,"id, userId, name, amount, status",src/app/api/... or prisma/schema.prisma (subscriptions),None,High - RLS Disabled,Strong Evidence,Strong Evidence,Unassigned (Pending WD),N/A,"Table_List.csv line for subscriptions, Table_Columns.csv (22 cols)",Table schema present in database exports and Prisma/Supabase bindings.,WD sign-off required for live production RLS enforcement.
TBL-057,succession_emergency,public,Database table storing succession emergency data.,10,id,userId,userId->users(id),None,"timestamp without time zone, integer, text, jsonb",4 Required / 6 Nullable,KOSH (Emergency Fund),EMERGENCY_FUND,Disabled (Gapped),false,None,None,None,None,"id, userId",src/app/api/... or prisma/schema.prisma (succession_emergency),None,High - RLS Disabled,Strong Evidence,Strong Evidence,Unassigned (Pending WD),N/A,"Table_List.csv line for succession_emergency, Table_Columns.csv (10 cols)",Table schema present in database exports and Prisma/Supabase bindings.,WD sign-off required for live production RLS enforcement.
TBL-058,succession_nominees,public,Database table storing succession nominees data.,10,id,nomineeId; userId,nomineeId->family_members(id); userId->users(id),None,"timestamp without time zone, double precision, text",10 Required / 0 Nullable,SYSTEM,SYSTEM,Disabled (Gapped),false,None,None,None,None,"id, userId",src/app/api/... or prisma/schema.prisma (succession_nominees),None,High - RLS Disabled,Strong Evidence,Strong Evidence,Unassigned (Pending WD),N/A,"Table_List.csv line for succession_nominees, Table_Columns.csv (10 cols)",Table schema present in database exports and Prisma/Supabase bindings.,WD sign-off required for live production RLS enforcement.
TBL-059,succession_wills,public,Database table storing succession wills data.,14,id,userId,userId->users(id),None,"boolean, text, date, timestamp without time zone, jsonb",7 Required / 7 Nullable,FAMILY,FAMILY,Disabled (Gapped),false,None,None,None,None,"id, userId",src/app/api/... or prisma/schema.prisma (succession_wills),None,High - RLS Disabled,Strong Evidence,Strong Evidence,Unassigned (Pending WD),N/A,"Table_List.csv line for succession_wills, Table_Columns.csv (14 cols)",Table schema present in database exports and Prisma/Supabase bindings.,WD sign-off required for live production RLS enforcement.
TBL-060,support_tickets,public,Database table storing support tickets data.,16,id,assignedTo; userId,assignedTo->admin_users(id); userId->users(id),ticket_responses(ticketId),"text, integer, timestamp without time zone, USER-DEFINED, jsonb",9 Required / 7 Nullable,SYSTEM,SYSTEM,Disabled (Gapped),false,None,None,None,None,"id, userId, status",src/app/api/... or prisma/schema.prisma (support_tickets),None,High - RLS Disabled,Strong Evidence,Strong Evidence,Unassigned (Pending WD),N/A,"Table_List.csv line for support_tickets, Table_Columns.csv (16 cols)",Table schema present in database exports and Prisma/Supabase bindings.,WD sign-off required for live production RLS enforcement.
TBL-061,system_parameters,public,Database table storing system parameters data.,10,id,updatedBy,updatedBy->admin_users(id),None,"integer, timestamp without time zone, USER-DEFINED, text",7 Required / 3 Nullable,SYSTEM,SYSTEM,Disabled (Gapped),false,None,None,None,None,id,src/app/api/... or prisma/schema.prisma (system_parameters),None,High - RLS Disabled,Strong Evidence,Strong Evidence,Unassigned (Pending WD),N/A,"Table_List.csv line for system_parameters, Table_Columns.csv (10 cols)",Table schema present in database exports and Prisma/Supabase bindings.,WD sign-off required for live production RLS enforcement.
TBL-062,system_settings,public,Database table storing system settings data.,5,id,None,None,None,"timestamp without time zone, text",4 Required / 1 Nullable,SYSTEM,SYSTEM,Disabled (Gapped),false,None,None,None,None,id,src/app/api/... or prisma/schema.prisma (system_settings),None,High - RLS Disabled,Strong Evidence,Strong Evidence,Unassigned (Pending WD),N/A,"Table_List.csv line for system_settings, Table_Columns.csv (5 cols)",Table schema present in database exports and Prisma/Supabase bindings.,WD sign-off required for live production RLS enforcement.
TBL-063,tax_records,public,Database table storing tax records data.,16,id,userId,userId->users(id),None,"timestamp without time zone, date, double precision, text",7 Required / 9 Nullable,TAX,TAX,Disabled (Gapped),false,None,None,None,None,"id, userId, status",src/app/api/... or prisma/schema.prisma (tax_records),None,High - RLS Disabled,Strong Evidence,Strong Evidence,Unassigned (Pending WD),N/A,"Table_List.csv line for tax_records, Table_Columns.csv (16 cols)",Table schema present in database exports and Prisma/Supabase bindings.,WD sign-off required for live production RLS enforcement.
TBL-064,ticket_responses,public,Database table storing ticket responses data.,7,id,ticketId,ticketId->support_tickets(id),None,"timestamp without time zone, boolean, text",6 Required / 1 Nullable,SYSTEM,SYSTEM,Disabled (Gapped),false,None,None,None,None,id,src/app/api/... or prisma/schema.prisma (ticket_responses),None,High - RLS Disabled,Strong Evidence,Strong Evidence,Unassigned (Pending WD),N/A,"Table_List.csv line for ticket_responses, Table_Columns.csv (7 cols)",Table schema present in database exports and Prisma/Supabase bindings.,WD sign-off required for live production RLS enforcement.
TBL-065,tutorial_analytics,public,Database table storing tutorial analytics data.,7,id,tutorialId,tutorialId->tutorials(id),None,"date, double precision, integer, text",5 Required / 2 Nullable,SYSTEM,SYSTEM,Disabled (Gapped),false,None,None,None,None,id,src/app/api/... or prisma/schema.prisma (tutorial_analytics),None,High - RLS Disabled,Strong Evidence,Strong Evidence,Unassigned (Pending WD),N/A,"Table_List.csv line for tutorial_analytics, Table_Columns.csv (7 cols)",Table schema present in database exports and Prisma/Supabase bindings.,WD sign-off required for live production RLS enforcement.
TBL-066,tutorial_completions,public,Database table storing tutorial completions data.,6,id,tutorialId; userId,tutorialId->tutorials(id); userId->users(id),None,"timestamp without time zone, boolean, integer, text",5 Required / 1 Nullable,SYSTEM,SYSTEM,Disabled (Gapped),false,None,None,None,None,"id, userId",src/app/api/... or prisma/schema.prisma (tutorial_completions),None,High - RLS Disabled,Strong Evidence,Strong Evidence,Unassigned (Pending WD),N/A,"Table_List.csv line for tutorial_completions, Table_Columns.csv (6 cols)",Table schema present in database exports and Prisma/Supabase bindings.,WD sign-off required for live production RLS enforcement.
TBL-067,tutorials,public,Database table storing tutorials data.,22,id,createdBy; submoduleId,createdBy->admin_users(id); submoduleId->submodules(id),tutorial_analytics(tutorialId); tutorial_completions(tutorialId),"boolean, text, integer, timestamp without time zone, USER-DEFINED, jsonb",11 Required / 11 Nullable,SYSTEM,SYSTEM,Disabled (Gapped),false,None,None,None,None,id,src/app/api/... or prisma/schema.prisma (tutorials),None,High - RLS Disabled,Strong Evidence,Strong Evidence,Unassigned (Pending WD),N/A,"Table_List.csv line for tutorials, Table_Columns.csv (22 cols)",Table schema present in database exports and Prisma/Supabase bindings.,WD sign-off required for live production RLS enforcement.
TBL-068,user_chapter_progress,public,Database table storing user chapter progress data.,10,id,submoduleId; userId,submoduleId->submodules(id); userId->users(id),None,"timestamp without time zone, text, jsonb",6 Required / 4 Nullable,SYSTEM,SYSTEM,Disabled (Gapped),false,None,None,None,None,"id, userId, status",src/app/api/... or prisma/schema.prisma (user_chapter_progress),None,High - RLS Disabled,Strong Evidence,Strong Evidence,Unassigned (Pending WD),N/A,"Table_List.csv line for user_chapter_progress, Table_Columns.csv (10 cols)",Table schema present in database exports and Prisma/Supabase bindings.,WD sign-off required for live production RLS enforcement.
TBL-069,user_cohorts,public,Database table storing user cohorts data.,5,id,cohortId; userId,cohortId->cohorts(id); userId->users(id),None,"timestamp without time zone, text",4 Required / 1 Nullable,SYSTEM,SYSTEM,Disabled (Gapped),false,None,None,None,None,"id, userId",src/app/api/... or prisma/schema.prisma (user_cohorts),None,High - RLS Disabled,Strong Evidence,Strong Evidence,Unassigned (Pending WD),N/A,"Table_List.csv line for user_cohorts, Table_Columns.csv (5 cols)",Table schema present in database exports and Prisma/Supabase bindings.,WD sign-off required for live production RLS enforcement.
TBL-070,user_feedback,public,Database table storing user feedback data.,9,id,userId,userId->users(id),None,"integer, timestamp without time zone, USER-DEFINED, text",4 Required / 5 Nullable,SYSTEM,SYSTEM,Disabled (Gapped),false,None,None,None,None,"id, userId",src/app/api/... or prisma/schema.prisma (user_feedback),None,High - RLS Disabled,Strong Evidence,Strong Evidence,Unassigned (Pending WD),N/A,"Table_List.csv line for user_feedback, Table_Columns.csv (9 cols)",Table schema present in database exports and Prisma/Supabase bindings.,WD sign-off required for live production RLS enforcement.
TBL-071,user_module_progress,public,Database table storing user module progress data.,6,id,moduleId; userId,moduleId->modules(id); userId->users(id),None,"timestamp without time zone, text",5 Required / 1 Nullable,SYSTEM,SYSTEM,Disabled (Gapped),false,None,None,None,None,"id, userId, status",src/app/api/... or prisma/schema.prisma (user_module_progress),None,High - RLS Disabled,Strong Evidence,Strong Evidence,Unassigned (Pending WD),N/A,"Table_List.csv line for user_module_progress, Table_Columns.csv (6 cols)",Table schema present in database exports and Prisma/Supabase bindings.,WD sign-off required for live production RLS enforcement.
TBL-072,user_sessions,public,Database table storing user sessions data.,10,id,userId,userId->users(id),None,"timestamp without time zone, text",7 Required / 3 Nullable,AUTH,AUTH,Disabled (Gapped),false,None,None,None,None,"id, userId",src/app/api/... or prisma/schema.prisma (user_sessions),None,High - RLS Disabled,Strong Evidence,Strong Evidence,Unassigned (Pending WD),N/A,"Table_List.csv line for user_sessions, Table_Columns.csv (10 cols)",Table schema present in database exports and Prisma/Supabase bindings.,WD sign-off required for live production RLS enforcement.
TBL-073,users,public,Database table storing users data.,33,id,None,None,activity_events(userId); asset_inventory(userId); bank_accounts(userId); budget_plans(userId); cash_wallets(userId); consent_records(userId); credential_records(userId); data_access_logs(userId); din_records(userId); document_meta(userId); education(userId); email_verification_codes(userId); expense_categories(userId); expense_entries(userId); family_members(userId); game_runs(userId); gamification_state(userId); goals(userId); gst_records(userId); identity_links(userId); identity_records(userId); income_streams(userId); insurance_policies(userId); investment_holdings(userId); loan_accounts(userId); nominee_mapping(userId); notifications(userId); property_assets(userId); quiz_answers(userId); rajya_scores(userId); reminders(userId); subscription_analytics(userId); subscriptions(userId); succession_emergency(userId); succession_nominees(userId); succession_wills(userId); support_tickets(userId); tax_records(userId); tutorial_completions(userId); user_chapter_progress(userId); user_cohorts(userId); user_feedback(userId); user_module_progress(userId); user_sessions(userId); will_status(userId),"boolean, text, date, timestamp without time zone, USER-DEFINED, jsonb",8 Required / 25 Nullable,AUTH,AUTH,Disabled (Gapped),false,None,None,None,None,"id, name, status",src/app/api/... or prisma/schema.prisma (users),None,High - RLS Disabled,Strong Evidence,Strong Evidence,Unassigned (Pending WD),N/A,"Table_List.csv line for users, Table_Columns.csv (33 cols)",Table schema present in database exports and Prisma/Supabase bindings.,WD sign-off required for live production RLS enforcement.
TBL-074,weekly_analytics,public,Database table storing weekly analytics data.,10,id,None,None,None,"double precision, text, date, integer, timestamp without time zone",5 Required / 5 Nullable,SYSTEM,SYSTEM,Disabled (Gapped),false,None,None,None,None,id,src/app/api/... or prisma/schema.prisma (weekly_analytics),None,High - RLS Disabled,Strong Evidence,Strong Evidence,Unassigned (Pending WD),N/A,"Table_List.csv line for weekly_analytics, Table_Columns.csv (10 cols)",Table schema present in database exports and Prisma/Supabase bindings.,WD sign-off required for live production RLS enforcement.
TBL-075,will_status,public,Database table storing will status data.,10,id,userId,userId->users(id),None,"timestamp without time zone, boolean, date, text",5 Required / 5 Nullable,FAMILY,FAMILY,Disabled (Gapped),false,None,None,None,None,"id, userId",src/app/api/... or prisma/schema.prisma (will_status),None,High - RLS Disabled,Strong Evidence,Strong Evidence,Unassigned (Pending WD),N/A,"Table_List.csv line for will_status, Table_Columns.csv (10 cols)",Table schema present in database exports and Prisma/Supabase bindings.,WD sign-off required for live production RLS enforcement.
