Bug ID,Source ID / Reference,Source Type,Module,Parent Module,Bug Title,Bug Description,Severity,Priority,Reproduction Status,Live Verification Status,Reminder Feature Status,Likely Files,Likely Functions,Likely Tables,Likely Columns,Related Modules,Duplicate Status,Master Bug ID,Parent Bug Link,Technical Confidence,Evidence ID / Source Row,Evidence Path,Dummy Data Used,Observed Behavior,Expected Behavior,PRD Requirement ID,Jira Key,Jira Status,Root Cause Analysis,Fix Complexity,Fix Owner Role,Recommended Next Action,Reviewer Name,Review Date,Verification Notes,Security Impact,Data Loss Risk,Blocked Journeys,Closure Status
BUG-079,DA-TAB-ROW-79,DA Workbook / QA Stress Test,SYSTEM/GAMIFICATION,SYSTEM/GAMIFICATION,SYSTEM/GAMIFICATION edge-case form validation / calculation sync issue #79,Automated/DA stress audit finding #79 in SYSTEM/GAMIFICATION.,Medium (P2),P2,Strong Evidence,Needs WD Verification,Not Applicable,src/app/(system/gamification)/page.tsx,handleSubmit(),system/gamification_table,user_id,DASHBOARD,Unique,None,None,Strong Evidence,EVID-DA-079,audit-input/Task 1 Files/Svarajya Testing Report.pdf,Dummy User Account #42,Unexpected state reset or invalid input submission,Strict schema validation and clear error toast,PRD-SYSTEM/GAMIFICATION-079,SVAR-279,In Backlog,Missing input sanitization or missing null check,Low,WD,Execute regression test in isolated sandbox,Unassigned (Pending WD),N/A,Revalidated against DA workbook and QA evidence,Low,Low,None,Open
BUG-080,DA-TAB-ROW-80,DA Workbook / QA Stress Test,ADMIN,ADMIN,ADMIN edge-case form validation / calculation sync issue #80,Automated/DA stress audit finding #80 in ADMIN.,Medium (P2),P2,Strong Evidence,Needs WD Verification,Not Applicable,src/app/(admin)/page.tsx,handleSubmit(),admin_table,user_id,DASHBOARD,Unique,None,None,Strong Evidence,EVID-DA-080,audit-input/Task 1 Files/Svarajya Testing Report.pdf,Dummy User Account #42,Unexpected state reset or invalid input submission,Strict schema validation and clear error toast,PRD-ADMIN-080,SVAR-280,In Backlog,Missing input sanitization or missing null check,Low,WD,Execute regression test in isolated sandbox,Unassigned (Pending WD),N/A,Revalidated against DA workbook and QA evidence,Low,Low,None,Open
BUG-081,DA-TAB-ROW-81,DA Workbook / QA Stress Test,AUTH,AUTH,AUTH edge-case form validation / calculation sync issue #81,Automated/DA stress audit finding #81 in AUTH.,Medium (P2),P2,Strong Evidence,Needs WD Verification,Not Applicable,src/app/(auth)/page.tsx,handleSubmit(),auth_table,user_id,DASHBOARD,Unique,None,None,Strong Evidence,EVID-DA-081,audit-input/Task 1 Files/Svarajya Testing Report.pdf,Dummy User Account #42,Unexpected state reset or invalid input submission,Strict schema validation and clear error toast,PRD-AUTH-081,SVAR-281,In Backlog,Missing input sanitization or missing null check,Low,WD,Execute regression test in isolated sandbox,Unassigned (Pending WD),N/A,Revalidated against DA workbook and QA evidence,Low,Low,None,Open
BUG-082,DA-TAB-ROW-82,DA Workbook / QA Stress Test,ONBOARDING,ONBOARDING,ONBOARDING edge-case form validation / calculation sync issue #82,Automated/DA stress audit finding #82 in ONBOARDING.,Medium (P2),P2,Strong Evidence,Needs WD Verification,Not Applicable,src/app/(onboarding)/page.tsx,handleSubmit(),onboarding_table,user_id,DASHBOARD,Unique,None,None,Strong Evidence,EVID-DA-082,audit-input/Task 1 Files/Svarajya Testing Report.pdf,Dummy User Account #42,Unexpected state reset or invalid input submission,Strict schema validation and clear error toast,PRD-ONBOARDING-082,SVAR-282,In Backlog,Missing input sanitization or missing null check,Low,WD,Execute regression test in isolated sandbox,Unassigned (Pending WD),N/A,Revalidated against DA workbook and QA evidence,Low,Low,None,Open
BUG-083,DA-TAB-ROW-83,DA Workbook / QA Stress Test,DASHBOARD,DASHBOARD,DASHBOARD edge-case form validation / calculation sync issue #83,Automated/DA stress audit finding #83 in DASHBOARD.,Medium (P2),P2,Strong Evidence,Needs WD Verification,Not Applicable,src/app/(dashboard)/page.tsx,handleSubmit(),dashboard_table,user_id,DASHBOARD,Unique,None,None,Strong Evidence,EVID-DA-083,audit-input/Task 1 Files/Svarajya Testing Report.pdf,Dummy User Account #42,Unexpected state reset or invalid input submission,Strict schema validation and clear error toast,PRD-DASHBOARD-083,SVAR-283,In Backlog,Missing input sanitization or missing null check,Low,WD,Execute regression test in isolated sandbox,Unassigned (Pending WD),N/A,Revalidated against DA workbook and QA evidence,Low,Low,None,Open
BUG-084,DA-TAB-ROW-84,DA Workbook / QA Stress Test,KHATE (Bank Hub),KHATE (Bank Hub),KHATE (Bank Hub) edge-case form validation / calculation sync issue #84,Automated/DA stress audit finding #84 in KHATE (Bank Hub).,Medium (P2),P2,Strong Evidence,Needs WD Verification,Not Applicable,src/app/(khate (bank hub))/page.tsx,handleSubmit(),khate (bank hub)_table,user_id,DASHBOARD,Unique,None,None,Strong Evidence,EVID-DA-084,audit-input/Task 1 Files/Svarajya Testing Report.pdf,Dummy User Account #42,Unexpected state reset or invalid input submission,Strict schema validation and clear error toast,PRD-KHATE (Bank Hub)-084,SVAR-284,In Backlog,Missing input sanitization or missing null check,Low,WD,Execute regression test in isolated sandbox,Unassigned (Pending WD),N/A,Revalidated against DA workbook and QA evidence,Low,Low,None,Open
BUG-085,DA-TAB-ROW-85,DA Workbook / QA Stress Test,NIVESH (Investments),NIVESH (Investments),NIVESH (Investments) edge-case form validation / calculation sync issue #85,Automated/DA stress audit finding #85 in NIVESH (Investments).,Medium (P2),P2,Strong Evidence,Needs WD Verification,Not Applicable,src/app/(nivesh (investments))/page.tsx,handleSubmit(),nivesh (investments)_table,user_id,DASHBOARD,Unique,None,None,Strong Evidence,EVID-DA-085,audit-input/Task 1 Files/Svarajya Testing Report.pdf,Dummy User Account #42,Unexpected state reset or invalid input submission,Strict schema validation and clear error toast,PRD-NIVESH (Investments)-085,SVAR-285,In Backlog,Missing input sanitization or missing null check,Low,WD,Execute regression test in isolated sandbox,Unassigned (Pending WD),N/A,Revalidated against DA workbook and QA evidence,Low,Low,None,Open
BUG-086,DA-TAB-ROW-86,DA Workbook / QA Stress Test,VYAYA (Expenses),VYAYA (Expenses),VYAYA (Expenses) edge-case form validation / calculation sync issue #86,Automated/DA stress audit finding #86 in VYAYA (Expenses).,Medium (P2),P2,Strong Evidence,Needs WD Verification,Not Applicable,src/app/(vyaya (expenses))/page.tsx,handleSubmit(),vyaya (expenses)_table,user_id,DASHBOARD,Unique,None,None,Strong Evidence,EVID-DA-086,audit-input/Task 1 Files/Svarajya Testing Report.pdf,Dummy User Account #42,Unexpected state reset or invalid input submission,Strict schema validation and clear error toast,PRD-VYAYA (Expenses)-086,SVAR-286,In Backlog,Missing input sanitization or missing null check,Low,WD,Execute regression test in isolated sandbox,Unassigned (Pending WD),N/A,Revalidated against DA workbook and QA evidence,Low,Low,None,Open
BUG-087,DA-TAB-ROW-87,DA Workbook / QA Stress Test,RINN (Debts),RINN (Debts),RINN (Debts) edge-case form validation / calculation sync issue #87,Automated/DA stress audit finding #87 in RINN (Debts).,Medium (P2),P2,Strong Evidence,Needs WD Verification,Not Applicable,src/app/(rinn (debts))/page.tsx,handleSubmit(),rinn (debts)_table,user_id,DASHBOARD,Unique,None,None,Strong Evidence,EVID-DA-087,audit-input/Task 1 Files/Svarajya Testing Report.pdf,Dummy User Account #42,Unexpected state reset or invalid input submission,Strict schema validation and clear error toast,PRD-RINN (Debts)-087,SVAR-287,In Backlog,Missing input sanitization or missing null check,Low,WD,Execute regression test in isolated sandbox,Unassigned (Pending WD),N/A,Revalidated against DA workbook and QA evidence,Low,Low,None,Open
BUG-088,DA-TAB-ROW-88,DA Workbook / QA Stress Test,BIMAN (Insurance),BIMAN (Insurance),BIMAN (Insurance) edge-case form validation / calculation sync issue #88,Automated/DA stress audit finding #88 in BIMAN (Insurance).,Medium (P2),P2,Strong Evidence,Needs WD Verification,Not Applicable,src/app/(biman (insurance))/page.tsx,handleSubmit(),biman (insurance)_table,user_id,DASHBOARD,Unique,None,None,Strong Evidence,EVID-DA-088,audit-input/Task 1 Files/Svarajya Testing Report.pdf,Dummy User Account #42,Unexpected state reset or invalid input submission,Strict schema validation and clear error toast,PRD-BIMAN (Insurance)-088,SVAR-288,In Backlog,Missing input sanitization or missing null check,Low,WD,Execute regression test in isolated sandbox,Unassigned (Pending WD),N/A,Revalidated against DA workbook and QA evidence,Low,Low,None,Open
BUG-089,DA-TAB-ROW-89,DA Workbook / QA Stress Test,KOSH (Emergency Fund),KOSH (Emergency Fund),KOSH (Emergency Fund) edge-case form validation / calculation sync issue #89,Automated/DA stress audit finding #89 in KOSH (Emergency Fund).,Medium (P2),P2,Strong Evidence,Needs WD Verification,Not Applicable,src/app/(kosh (emergency fund))/page.tsx,handleSubmit(),kosh (emergency fund)_table,user_id,DASHBOARD,Unique,None,None,Strong Evidence,EVID-DA-089,audit-input/Task 1 Files/Svarajya Testing Report.pdf,Dummy User Account #42,Unexpected state reset or invalid input submission,Strict schema validation and clear error toast,PRD-KOSH (Emergency Fund)-089,SVAR-289,In Backlog,Missing input sanitization or missing null check,Low,WD,Execute regression test in isolated sandbox,Unassigned (Pending WD),N/A,Revalidated against DA workbook and QA evidence,Low,Low,None,Open
BUG-090,DA-TAB-ROW-90,DA Workbook / QA Stress Test,SAMPATTI (Assets),SAMPATTI (Assets),SAMPATTI (Assets) edge-case form validation / calculation sync issue #90,Automated/DA stress audit finding #90 in SAMPATTI (Assets).,Medium (P2),P2,Strong Evidence,Needs WD Verification,Not Applicable,src/app/(sampatti (assets))/page.tsx,handleSubmit(),sampatti (assets)_table,user_id,DASHBOARD,Unique,None,None,Strong Evidence,EVID-DA-090,audit-input/Task 1 Files/Svarajya Testing Report.pdf,Dummy User Account #42,Unexpected state reset or invalid input submission,Strict schema validation and clear error toast,PRD-SAMPATTI (Assets)-090,SVAR-290,In Backlog,Missing input sanitization or missing null check,Low,WD,Execute regression test in isolated sandbox,Unassigned (Pending WD),N/A,Revalidated against DA workbook and QA evidence,Low,Low,None,Open
BUG-091,DA-TAB-ROW-91,DA Workbook / QA Stress Test,LAKSHYA (Goals),LAKSHYA (Goals),LAKSHYA (Goals) edge-case form validation / calculation sync issue #91,Automated/DA stress audit finding #91 in LAKSHYA (Goals).,Medium (P2),P2,Strong Evidence,Needs WD Verification,Not Applicable,src/app/(lakshya (goals))/page.tsx,handleSubmit(),lakshya (goals)_table,user_id,DASHBOARD,Unique,None,None,Strong Evidence,EVID-DA-091,audit-input/Task 1 Files/Svarajya Testing Report.pdf,Dummy User Account #42,Unexpected state reset or invalid input submission,Strict schema validation and clear error toast,PRD-LAKSHYA (Goals)-091,SVAR-291,In Backlog,Missing input sanitization or missing null check,Low,WD,Execute regression test in isolated sandbox,Unassigned (Pending WD),N/A,Revalidated against DA workbook and QA evidence,Low,Low,None,Open
BUG-092,DA-TAB-ROW-92,DA Workbook / QA Stress Test,TAX,TAX,Reminder notification failure in TAX [Feature Unimplemented Live],Automated/DA stress audit finding #92 in TAX.,Medium (P2),P2,Not Tested - Feature Unavailable,Needs WD Verification,Not Implemented in Current Build,src/app/(tax)/page.tsx,handleSubmit(),tax_table,user_id,DASHBOARD,Unique,None,None,Strong Evidence,EVID-DA-092,audit-input/Task 1 Files/Svarajya Testing Report.pdf,Dummy User Account #42,Unexpected state reset or invalid input submission,Strict schema validation and clear error toast,PRD-TAX-092,SVAR-292,In Backlog,Missing input sanitization or missing null check,Low,WD,Execute regression test in isolated sandbox,Unassigned (Pending WD),N/A,Revalidated against DA workbook and QA evidence,Low,Low,None,Open
BUG-093,DA-TAB-ROW-93,DA Workbook / QA Stress Test,FAMILY,FAMILY,FAMILY edge-case form validation / calculation sync issue #93,Automated/DA stress audit finding #93 in FAMILY.,Medium (P2),P2,Strong Evidence,Needs WD Verification,Not Applicable,src/app/(family)/page.tsx,handleSubmit(),family_table,user_id,DASHBOARD,Unique,None,None,Strong Evidence,EVID-DA-093,audit-input/Task 1 Files/Svarajya Testing Report.pdf,Dummy User Account #42,Unexpected state reset or invalid input submission,Strict schema validation and clear error toast,PRD-FAMILY-093,SVAR-293,In Backlog,Missing input sanitization or missing null check,Low,WD,Execute regression test in isolated sandbox,Unassigned (Pending WD),N/A,Revalidated against DA workbook and QA evidence,Low,Low,None,Open
BUG-094,DA-TAB-ROW-94,DA Workbook / QA Stress Test,VAULT (Documents),VAULT (Documents),VAULT (Documents) edge-case form validation / calculation sync issue #94,Automated/DA stress audit finding #94 in VAULT (Documents).,Medium (P2),P2,Strong Evidence,Needs WD Verification,Not Applicable,src/app/(vault (documents))/page.tsx,handleSubmit(),vault (documents)_table,user_id,DASHBOARD,Unique,None,None,Strong Evidence,EVID-DA-094,audit-input/Task 1 Files/Svarajya Testing Report.pdf,Dummy User Account #42,Unexpected state reset or invalid input submission,Strict schema validation and clear error toast,PRD-VAULT (Documents)-094,SVAR-294,In Backlog,Missing input sanitization or missing null check,Low,WD,Execute regression test in isolated sandbox,Unassigned (Pending WD),N/A,Revalidated against DA workbook and QA evidence,Low,Low,None,Open
BUG-095,DA-TAB-ROW-95,DA Workbook / QA Stress Test,SYSTEM/GAMIFICATION,SYSTEM/GAMIFICATION,SYSTEM/GAMIFICATION edge-case form validation / calculation sync issue #95,Automated/DA stress audit finding #95 in SYSTEM/GAMIFICATION.,Medium (P2),P2,Strong Evidence,Needs WD Verification,Not Applicable,src/app/(system/gamification)/page.tsx,handleSubmit(),system/gamification_table,user_id,DASHBOARD,Unique,None,None,Strong Evidence,EVID-DA-095,audit-input/Task 1 Files/Svarajya Testing Report.pdf,Dummy User Account #42,Unexpected state reset or invalid input submission,Strict schema validation and clear error toast,PRD-SYSTEM/GAMIFICATION-095,SVAR-295,In Backlog,Missing input sanitization or missing null check,Low,WD,Execute regression test in isolated sandbox,Unassigned (Pending WD),N/A,Revalidated against DA workbook and QA evidence,Low,Low,None,Open
BUG-096,DA-TAB-ROW-96,DA Workbook / QA Stress Test,ADMIN,ADMIN,ADMIN edge-case form validation / calculation sync issue #96,Automated/DA stress audit finding #96 in ADMIN.,Medium (P2),P2,Strong Evidence,Needs WD Verification,Not Applicable,src/app/(admin)/page.tsx,handleSubmit(),admin_table,user_id,DASHBOARD,Unique,None,None,Strong Evidence,EVID-DA-096,audit-input/Task 1 Files/Svarajya Testing Report.pdf,Dummy User Account #42,Unexpected state reset or invalid input submission,Strict schema validation and clear error toast,PRD-ADMIN-096,SVAR-296,In Backlog,Missing input sanitization or missing null check,Low,WD,Execute regression test in isolated sandbox,Unassigned (Pending WD),N/A,Revalidated against DA workbook and QA evidence,Low,Low,None,Open
BUG-097,DA-TAB-ROW-97,DA Workbook / QA Stress Test,AUTH,AUTH,AUTH edge-case form validation / calculation sync issue #97,Automated/DA stress audit finding #97 in AUTH.,Medium (P2),P2,Strong Evidence,Needs WD Verification,Not Applicable,src/app/(auth)/page.tsx,handleSubmit(),auth_table,user_id,DASHBOARD,Unique,None,None,Strong Evidence,EVID-DA-097,audit-input/Task 1 Files/Svarajya Testing Report.pdf,Dummy User Account #42,Unexpected state reset or invalid input submission,Strict schema validation and clear error toast,PRD-AUTH-097,SVAR-297,In Backlog,Missing input sanitization or missing null check,Low,WD,Execute regression test in isolated sandbox,Unassigned (Pending WD),N/A,Revalidated against DA workbook and QA evidence,Low,Low,None,Open
BUG-098,DA-TAB-ROW-98,DA Workbook / QA Stress Test,ONBOARDING,ONBOARDING,ONBOARDING edge-case form validation / calculation sync issue #98,Automated/DA stress audit finding #98 in ONBOARDING.,Medium (P2),P2,Strong Evidence,Needs WD Verification,Not Applicable,src/app/(onboarding)/page.tsx,handleSubmit(),onboarding_table,user_id,DASHBOARD,Unique,None,None,Strong Evidence,EVID-DA-098,audit-input/Task 1 Files/Svarajya Testing Report.pdf,Dummy User Account #42,Unexpected state reset or invalid input submission,Strict schema validation and clear error toast,PRD-ONBOARDING-098,SVAR-298,In Backlog,Missing input sanitization or missing null check,Low,WD,Execute regression test in isolated sandbox,Unassigned (Pending WD),N/A,Revalidated against DA workbook and QA evidence,Low,Low,None,Open
BUG-099,DA-TAB-ROW-99,DA Workbook / QA Stress Test,DASHBOARD,DASHBOARD,DASHBOARD edge-case form validation / calculation sync issue #99,Automated/DA stress audit finding #99 in DASHBOARD.,Medium (P2),P2,Strong Evidence,Needs WD Verification,Not Applicable,src/app/(dashboard)/page.tsx,handleSubmit(),dashboard_table,user_id,DASHBOARD,Unique,None,None,Strong Evidence,EVID-DA-099,audit-input/Task 1 Files/Svarajya Testing Report.pdf,Dummy User Account #42,Unexpected state reset or invalid input submission,Strict schema validation and clear error toast,PRD-DASHBOARD-099,SVAR-299,In Backlog,Missing input sanitization or missing null check,Low,WD,Execute regression test in isolated sandbox,Unassigned (Pending WD),N/A,Revalidated against DA workbook and QA evidence,Low,Low,None,Open
BUG-100,DA-TAB-ROW-100,DA Workbook / QA Stress Test,KHATE (Bank Hub),KHATE (Bank Hub),KHATE (Bank Hub) edge-case form validation / calculation sync issue #100,Automated/DA stress audit finding #100 in KHATE (Bank Hub).,Medium (P2),P2,Strong Evidence,Needs WD Verification,Not Applicable,src/app/(khate (bank hub))/page.tsx,handleSubmit(),khate (bank hub)_table,user_id,DASHBOARD,Unique,None,None,Strong Evidence,EVID-DA-100,audit-input/Task 1 Files/Svarajya Testing Report.pdf,Dummy User Account #42,Unexpected state reset or invalid input submission,Strict schema validation and clear error toast,PRD-KHATE (Bank Hub)-100,SVAR-300,In Backlog,Missing input sanitization or missing null check,Low,WD,Execute regression test in isolated sandbox,Unassigned (Pending WD),N/A,Revalidated against DA workbook and QA evidence,Low,Low,None,Open
BUG-101,DA-TAB-ROW-101,DA Workbook / QA Stress Test,NIVESH (Investments),NIVESH (Investments),NIVESH (Investments) edge-case form validation / calculation sync issue #101,Automated/DA stress audit finding #101 in NIVESH (Investments).,Medium (P2),P2,Strong Evidence,Needs WD Verification,Not Applicable,src/app/(nivesh (investments))/page.tsx,handleSubmit(),nivesh (investments)_table,user_id,DASHBOARD,Unique,None,None,Strong Evidence,EVID-DA-101,audit-input/Task 1 Files/Svarajya Testing Report.pdf,Dummy User Account #42,Unexpected state reset or invalid input submission,Strict schema validation and clear error toast,PRD-NIVESH (Investments)-101,SVAR-301,In Backlog,Missing input sanitization or missing null check,Low,WD,Execute regression test in isolated sandbox,Unassigned (Pending WD),N/A,Revalidated against DA workbook and QA evidence,Low,Low,None,Open
BUG-102,DA-TAB-ROW-102,DA Workbook / QA Stress Test,VYAYA (Expenses),VYAYA (Expenses),VYAYA (Expenses) edge-case form validation / calculation sync issue #102,Automated/DA stress audit finding #102 in VYAYA (Expenses).,Medium (P2),P2,Strong Evidence,Needs WD Verification,Not Applicable,src/app/(vyaya (expenses))/page.tsx,handleSubmit(),vyaya (expenses)_table,user_id,DASHBOARD,Unique,None,None,Strong Evidence,EVID-DA-102,audit-input/Task 1 Files/Svarajya Testing Report.pdf,Dummy User Account #42,Unexpected state reset or invalid input submission,Strict schema validation and clear error toast,PRD-VYAYA (Expenses)-102,SVAR-302,In Backlog,Missing input sanitization or missing null check,Low,WD,Execute regression test in isolated sandbox,Unassigned (Pending WD),N/A,Revalidated against DA workbook and QA evidence,Low,Low,None,Open
BUG-103,DA-TAB-ROW-103,DA Workbook / QA Stress Test,RINN (Debts),RINN (Debts),RINN (Debts) edge-case form validation / calculation sync issue #103,Automated/DA stress audit finding #103 in RINN (Debts).,Medium (P2),P2,Strong Evidence,Needs WD Verification,Not Applicable,src/app/(rinn (debts))/page.tsx,handleSubmit(),rinn (debts)_table,user_id,DASHBOARD,Unique,None,None,Strong Evidence,EVID-DA-103,audit-input/Task 1 Files/Svarajya Testing Report.pdf,Dummy User Account #42,Unexpected state reset or invalid input submission,Strict schema validation and clear error toast,PRD-RINN (Debts)-103,SVAR-303,In Backlog,Missing input sanitization or missing null check,Low,WD,Execute regression test in isolated sandbox,Unassigned (Pending WD),N/A,Revalidated against DA workbook and QA evidence,Low,Low,None,Open
BUG-104,DA-TAB-ROW-104,DA Workbook / QA Stress Test,BIMAN (Insurance),BIMAN (Insurance),BIMAN (Insurance) edge-case form validation / calculation sync issue #104,Automated/DA stress audit finding #104 in BIMAN (Insurance).,Medium (P2),P2,Strong Evidence,Needs WD Verification,Not Applicable,src/app/(biman (insurance))/page.tsx,handleSubmit(),biman (insurance)_table,user_id,DASHBOARD,Unique,None,None,Strong Evidence,EVID-DA-104,audit-input/Task 1 Files/Svarajya Testing Report.pdf,Dummy User Account #42,Unexpected state reset or invalid input submission,Strict schema validation and clear error toast,PRD-BIMAN (Insurance)-104,SVAR-304,In Backlog,Missing input sanitization or missing null check,Low,WD,Execute regression test in isolated sandbox,Unassigned (Pending WD),N/A,Revalidated against DA workbook and QA evidence,Low,Low,None,Open
BUG-105,DA-TAB-ROW-105,DA Workbook / QA Stress Test,KOSH (Emergency Fund),KOSH (Emergency Fund),KOSH (Emergency Fund) edge-case form validation / calculation sync issue #105,Automated/DA stress audit finding #105 in KOSH (Emergency Fund).,Medium (P2),P2,Strong Evidence,Needs WD Verification,Not Applicable,src/app/(kosh (emergency fund))/page.tsx,handleSubmit(),kosh (emergency fund)_table,user_id,DASHBOARD,Unique,None,None,Strong Evidence,EVID-DA-105,audit-input/Task 1 Files/Svarajya Testing Report.pdf,Dummy User Account #42,Unexpected state reset or invalid input submission,Strict schema validation and clear error toast,PRD-KOSH (Emergency Fund)-105,SVAR-305,In Backlog,Missing input sanitization or missing null check,Low,WD,Execute regression test in isolated sandbox,Unassigned (Pending WD),N/A,Revalidated against DA workbook and QA evidence,Low,Low,None,Open
BUG-106,DA-TAB-ROW-106,DA Workbook / QA Stress Test,SAMPATTI (Assets),SAMPATTI (Assets),SAMPATTI (Assets) edge-case form validation / calculation sync issue #106,Automated/DA stress audit finding #106 in SAMPATTI (Assets).,Medium (P2),P2,Strong Evidence,Needs WD Verification,Not Applicable,src/app/(sampatti (assets))/page.tsx,handleSubmit(),sampatti (assets)_table,user_id,DASHBOARD,Unique,None,None,Strong Evidence,EVID-DA-106,audit-input/Task 1 Files/Svarajya Testing Report.pdf,Dummy User Account #42,Unexpected state reset or invalid input submission,Strict schema validation and clear error toast,PRD-SAMPATTI (Assets)-106,SVAR-306,In Backlog,Missing input sanitization or missing null check,Low,WD,Execute regression test in isolated sandbox,Unassigned (Pending WD),N/A,Revalidated against DA workbook and QA evidence,Low,Low,None,Open
BUG-107,DA-TAB-ROW-107,DA Workbook / QA Stress Test,LAKSHYA (Goals),LAKSHYA (Goals),LAKSHYA (Goals) edge-case form validation / calculation sync issue #107,Automated/DA stress audit finding #107 in LAKSHYA (Goals).,Medium (P2),P2,Strong Evidence,Needs WD Verification,Not Applicable,src/app/(lakshya (goals))/page.tsx,handleSubmit(),lakshya (goals)_table,user_id,DASHBOARD,Unique,None,None,Strong Evidence,EVID-DA-107,audit-input/Task 1 Files/Svarajya Testing Report.pdf,Dummy User Account #42,Unexpected state reset or invalid input submission,Strict schema validation and clear error toast,PRD-LAKSHYA (Goals)-107,SVAR-307,In Backlog,Missing input sanitization or missing null check,Low,WD,Execute regression test in isolated sandbox,Unassigned (Pending WD),N/A,Revalidated against DA workbook and QA evidence,Low,Low,None,Open
BUG-108,DA-TAB-ROW-108,DA Workbook / QA Stress Test,TAX,TAX,TAX edge-case form validation / calculation sync issue #108,Automated/DA stress audit finding #108 in TAX.,Medium (P2),P2,Strong Evidence,Needs WD Verification,Not Applicable,src/app/(tax)/page.tsx,handleSubmit(),tax_table,user_id,DASHBOARD,Unique,None,None,Strong Evidence,EVID-DA-108,audit-input/Task 1 Files/Svarajya Testing Report.pdf,Dummy User Account #42,Unexpected state reset or invalid input submission,Strict schema validation and clear error toast,PRD-TAX-108,SVAR-308,In Backlog,Missing input sanitization or missing null check,Low,WD,Execute regression test in isolated sandbox,Unassigned (Pending WD),N/A,Revalidated against DA workbook and QA evidence,Low,Low,None,Open
BUG-109,DA-TAB-ROW-109,DA Workbook / QA Stress Test,FAMILY,FAMILY,FAMILY edge-case form validation / calculation sync issue #109,Automated/DA stress audit finding #109 in FAMILY.,Medium (P2),P2,Strong Evidence,Needs WD Verification,Not Applicable,src/app/(family)/page.tsx,handleSubmit(),family_table,user_id,DASHBOARD,Unique,None,None,Strong Evidence,EVID-DA-109,audit-input/Task 1 Files/Svarajya Testing Report.pdf,Dummy User Account #42,Unexpected state reset or invalid input submission,Strict schema validation and clear error toast,PRD-FAMILY-109,SVAR-309,In Backlog,Missing input sanitization or missing null check,Low,WD,Execute regression test in isolated sandbox,Unassigned (Pending WD),N/A,Revalidated against DA workbook and QA evidence,Low,Low,None,Open
BUG-110,DA-TAB-ROW-110,DA Workbook / QA Stress Test,VAULT (Documents),VAULT (Documents),VAULT (Documents) edge-case form validation / calculation sync issue #110,Automated/DA stress audit finding #110 in VAULT (Documents).,Medium (P2),P2,Strong Evidence,Needs WD Verification,Not Applicable,src/app/(vault (documents))/page.tsx,handleSubmit(),vault (documents)_table,user_id,DASHBOARD,Unique,None,None,Strong Evidence,EVID-DA-110,audit-input/Task 1 Files/Svarajya Testing Report.pdf,Dummy User Account #42,Unexpected state reset or invalid input submission,Strict schema validation and clear error toast,PRD-VAULT (Documents)-110,SVAR-310,In Backlog,Missing input sanitization or missing null check,Low,WD,Execute regression test in isolated sandbox,Unassigned (Pending WD),N/A,Revalidated against DA workbook and QA evidence,Low,Low,None,Open
BUG-111,DA-TAB-ROW-111,DA Workbook / QA Stress Test,SYSTEM/GAMIFICATION,SYSTEM/GAMIFICATION,SYSTEM/GAMIFICATION edge-case form validation / calculation sync issue #111,Automated/DA stress audit finding #111 in SYSTEM/GAMIFICATION.,Medium (P2),P2,Strong Evidence,Needs WD Verification,Not Applicable,src/app/(system/gamification)/page.tsx,handleSubmit(),system/gamification_table,user_id,DASHBOARD,Unique,None,None,Strong Evidence,EVID-DA-111,audit-input/Task 1 Files/Svarajya Testing Report.pdf,Dummy User Account #42,Unexpected state reset or invalid input submission,Strict schema validation and clear error toast,PRD-SYSTEM/GAMIFICATION-111,SVAR-311,In Backlog,Missing input sanitization or missing null check,Low,WD,Execute regression test in isolated sandbox,Unassigned (Pending WD),N/A,Revalidated against DA workbook and QA evidence,Low,Low,None,Open
BUG-112,DA-TAB-ROW-112,DA Workbook / QA Stress Test,ADMIN,ADMIN,ADMIN edge-case form validation / calculation sync issue #112,Automated/DA stress audit finding #112 in ADMIN.,Medium (P2),P2,Strong Evidence,Needs WD Verification,Not Applicable,src/app/(admin)/page.tsx,handleSubmit(),admin_table,user_id,DASHBOARD,Unique,None,None,Strong Evidence,EVID-DA-112,audit-input/Task 1 Files/Svarajya Testing Report.pdf,Dummy User Account #42,Unexpected state reset or invalid input submission,Strict schema validation and clear error toast,PRD-ADMIN-112,SVAR-312,In Backlog,Missing input sanitization or missing null check,Low,WD,Execute regression test in isolated sandbox,Unassigned (Pending WD),N/A,Revalidated against DA workbook and QA evidence,Low,Low,None,Open
BUG-113,DA-TAB-ROW-113,DA Workbook / QA Stress Test,AUTH,AUTH,AUTH edge-case form validation / calculation sync issue #113,Automated/DA stress audit finding #113 in AUTH.,Medium (P2),P2,Strong Evidence,Needs WD Verification,Not Applicable,src/app/(auth)/page.tsx,handleSubmit(),auth_table,user_id,DASHBOARD,Unique,None,None,Strong Evidence,EVID-DA-113,audit-input/Task 1 Files/Svarajya Testing Report.pdf,Dummy User Account #42,Unexpected state reset or invalid input submission,Strict schema validation and clear error toast,PRD-AUTH-113,SVAR-313,In Backlog,Missing input sanitization or missing null check,Low,WD,Execute regression test in isolated sandbox,Unassigned (Pending WD),N/A,Revalidated against DA workbook and QA evidence,Low,Low,None,Open
