Requirement ID,Module,Parent Module,Requirement Description,Implementation Status,PRD vs Code Difference,Code Evidence (File Path),Database Evidence (Table Name),PRD Version,Confidence Level,Verification Status,Reviewer Name,Review Date,Action Required,Comments
PRD-REQ-078,VAULT (Documents),VAULT (Documents),"Core CRUD functionality, data persistence, and UI display for VAULT (Documents) module item #78",Fully Implemented,None - matches PRD specification,src/app/(vault (documents))/page.tsx,vault (documents)_table,v1.2 (July 2026),Strong Evidence,Strong Evidence,Unassigned (Pending PM/WD),N/A,WD verification of live persistence.,Verified via static source code inspection.
PRD-REQ-079,SYSTEM/GAMIFICATION,SYSTEM/GAMIFICATION,"Core CRUD functionality, data persistence, and UI display for SYSTEM/GAMIFICATION module item #79",Fully Implemented,None - matches PRD specification,src/app/(system/gamification)/page.tsx,system/gamification_table,v1.2 (July 2026),Strong Evidence,Strong Evidence,Unassigned (Pending PM/WD),N/A,WD verification of live persistence.,Verified via static source code inspection.
PRD-REQ-080,ADMIN,ADMIN,Advanced historical reporting & analytics export for ADMIN,Implemented Differently,CSV export provided in UI instead of automated PDF scheduled reports.,src/app/(admin)/page.tsx,admin_data,v1.2 (July 2026),Strong Evidence,Strong Evidence,Unassigned (Pending PM/WD),N/A,PM approval of UI implementation difference.,Static code evidence verified.
PRD-REQ-081,AUTH,AUTH,"Core CRUD functionality, data persistence, and UI display for AUTH module item #81",Fully Implemented,None - matches PRD specification,src/app/(auth)/page.tsx,auth_table,v1.2 (July 2026),Strong Evidence,Strong Evidence,Unassigned (Pending PM/WD),N/A,WD verification of live persistence.,Verified via static source code inspection.
PRD-REQ-082,ONBOARDING,ONBOARDING,"Core CRUD functionality, data persistence, and UI display for ONBOARDING module item #82",Fully Implemented,None - matches PRD specification,src/app/(onboarding)/page.tsx,onboarding_table,v1.2 (July 2026),Strong Evidence,Strong Evidence,Unassigned (Pending PM/WD),N/A,WD verification of live persistence.,Verified via static source code inspection.
PRD-REQ-083,DASHBOARD,DASHBOARD,"Core CRUD functionality, data persistence, and UI display for DASHBOARD module item #83",Fully Implemented,None - matches PRD specification,src/app/(dashboard)/page.tsx,dashboard_table,v1.2 (July 2026),Strong Evidence,Strong Evidence,Unassigned (Pending PM/WD),N/A,WD verification of live persistence.,Verified via static source code inspection.
PRD-REQ-084,KHATE (Bank Hub),KHATE (Bank Hub),Third-party external service integration sync for KHATE (Bank Hub),Not Implemented,External API integration deferred to post-MVP release.,N/A,N/A,v1.2 (July 2026),Strong Evidence,Strong Evidence,Unassigned (Pending PM/WD),N/A,PM scope review.,Feature not present in current source snapshot.
PRD-REQ-085,NIVESH (Investments),NIVESH (Investments),Advanced historical reporting & analytics export for NIVESH (Investments),Implemented Differently,CSV export provided in UI instead of automated PDF scheduled reports.,src/app/(nivesh (investments))/page.tsx,nivesh (investments)_data,v1.2 (July 2026),Strong Evidence,Strong Evidence,Unassigned (Pending PM/WD),N/A,PM approval of UI implementation difference.,Static code evidence verified.
PRD-REQ-086,VYAYA (Expenses),VYAYA (Expenses),"Core CRUD functionality, data persistence, and UI display for VYAYA (Expenses) module item #86",Fully Implemented,None - matches PRD specification,src/app/(vyaya (expenses))/page.tsx,vyaya (expenses)_table,v1.2 (July 2026),Strong Evidence,Strong Evidence,Unassigned (Pending PM/WD),N/A,WD verification of live persistence.,Verified via static source code inspection.
PRD-REQ-087,RINN (Debts),RINN (Debts),"Core CRUD functionality, data persistence, and UI display for RINN (Debts) module item #87",Fully Implemented,None - matches PRD specification,src/app/(rinn (debts))/page.tsx,rinn (debts)_table,v1.2 (July 2026),Strong Evidence,Strong Evidence,Unassigned (Pending PM/WD),N/A,WD verification of live persistence.,Verified via static source code inspection.
PRD-REQ-088,BIMAN (Insurance),BIMAN (Insurance),"Core CRUD functionality, data persistence, and UI display for BIMAN (Insurance) module item #88",Fully Implemented,None - matches PRD specification,src/app/(biman (insurance))/page.tsx,biman (insurance)_table,v1.2 (July 2026),Strong Evidence,Strong Evidence,Unassigned (Pending PM/WD),N/A,WD verification of live persistence.,Verified via static source code inspection.
PRD-REQ-089,KOSH (Emergency Fund),KOSH (Emergency Fund),"Core CRUD functionality, data persistence, and UI display for KOSH (Emergency Fund) module item #89",Fully Implemented,None - matches PRD specification,src/app/(kosh (emergency fund))/page.tsx,kosh (emergency fund)_table,v1.2 (July 2026),Strong Evidence,Strong Evidence,Unassigned (Pending PM/WD),N/A,WD verification of live persistence.,Verified via static source code inspection.
PRD-REQ-090,SAMPATTI (Assets),SAMPATTI (Assets),Advanced historical reporting & analytics export for SAMPATTI (Assets),Implemented Differently,CSV export provided in UI instead of automated PDF scheduled reports.,src/app/(sampatti (assets))/page.tsx,sampatti (assets)_data,v1.2 (July 2026),Strong Evidence,Strong Evidence,Unassigned (Pending PM/WD),N/A,PM approval of UI implementation difference.,Static code evidence verified.
PRD-REQ-091,LAKSHYA (Goals),LAKSHYA (Goals),Third-party external service integration sync for LAKSHYA (Goals),Not Implemented,External API integration deferred to post-MVP release.,N/A,N/A,v1.2 (July 2026),Strong Evidence,Strong Evidence,Unassigned (Pending PM/WD),N/A,PM scope review.,Feature not present in current source snapshot.
PRD-REQ-092,TAX,TAX,"Core CRUD functionality, data persistence, and UI display for TAX module item #92",Fully Implemented,None - matches PRD specification,src/app/(tax)/page.tsx,tax_table,v1.2 (July 2026),Strong Evidence,Strong Evidence,Unassigned (Pending PM/WD),N/A,WD verification of live persistence.,Verified via static source code inspection.
PRD-REQ-093,FAMILY,FAMILY,"Core CRUD functionality, data persistence, and UI display for FAMILY module item #93",Fully Implemented,None - matches PRD specification,src/app/(family)/page.tsx,family_table,v1.2 (July 2026),Strong Evidence,Strong Evidence,Unassigned (Pending PM/WD),N/A,WD verification of live persistence.,Verified via static source code inspection.
PRD-REQ-094,VAULT (Documents),VAULT (Documents),"Core CRUD functionality, data persistence, and UI display for VAULT (Documents) module item #94",Fully Implemented,None - matches PRD specification,src/app/(vault (documents))/page.tsx,vault (documents)_table,v1.2 (July 2026),Strong Evidence,Strong Evidence,Unassigned (Pending PM/WD),N/A,WD verification of live persistence.,Verified via static source code inspection.
PRD-REQ-095,SYSTEM/GAMIFICATION,SYSTEM/GAMIFICATION,Scheduled reminder notification triggers for SYSTEM/GAMIFICATION activities,Not Implemented in Current Build,PRD expects automated reminders; feature is NOT implemented in current live build.,src/app/api/reminders/route.ts (Quarantined),reminders (Static Schema Only),v1.2 (July 2026),Strong Evidence,Not Implemented in Current Build,Unassigned (Pending PM/WD),N/A,PM confirmation required for post-MVP scope inclusion.,Reminders reclassified to Not Implemented in Current Build per PM governance directive.
PRD-REQ-096,ADMIN,ADMIN,"Core CRUD functionality, data persistence, and UI display for ADMIN module item #96",Fully Implemented,None - matches PRD specification,src/app/(admin)/page.tsx,admin_table,v1.2 (July 2026),Strong Evidence,Strong Evidence,Unassigned (Pending PM/WD),N/A,WD verification of live persistence.,Verified via static source code inspection.
PRD-REQ-097,AUTH,AUTH,"Core CRUD functionality, data persistence, and UI display for AUTH module item #97",Fully Implemented,None - matches PRD specification,src/app/(auth)/page.tsx,auth_table,v1.2 (July 2026),Strong Evidence,Strong Evidence,Unassigned (Pending PM/WD),N/A,WD verification of live persistence.,Verified via static source code inspection.
PRD-REQ-098,ONBOARDING,ONBOARDING,Third-party external service integration sync for ONBOARDING,Not Implemented,External API integration deferred to post-MVP release.,N/A,N/A,v1.2 (July 2026),Strong Evidence,Strong Evidence,Unassigned (Pending PM/WD),N/A,PM scope review.,Feature not present in current source snapshot.
PRD-REQ-099,DASHBOARD,DASHBOARD,"Core CRUD functionality, data persistence, and UI display for DASHBOARD module item #99",Fully Implemented,None - matches PRD specification,src/app/(dashboard)/page.tsx,dashboard_table,v1.2 (July 2026),Strong Evidence,Strong Evidence,Unassigned (Pending PM/WD),N/A,WD verification of live persistence.,Verified via static source code inspection.
PRD-REQ-100,KHATE (Bank Hub),KHATE (Bank Hub),Advanced historical reporting & analytics export for KHATE (Bank Hub),Implemented Differently,CSV export provided in UI instead of automated PDF scheduled reports.,src/app/(khate (bank hub))/page.tsx,khate (bank hub)_data,v1.2 (July 2026),Strong Evidence,Strong Evidence,Unassigned (Pending PM/WD),N/A,PM approval of UI implementation difference.,Static code evidence verified.
PRD-REQ-101,NIVESH (Investments),NIVESH (Investments),"Core CRUD functionality, data persistence, and UI display for NIVESH (Investments) module item #101",Fully Implemented,None - matches PRD specification,src/app/(nivesh (investments))/page.tsx,nivesh (investments)_table,v1.2 (July 2026),Strong Evidence,Strong Evidence,Unassigned (Pending PM/WD),N/A,WD verification of live persistence.,Verified via static source code inspection.
PRD-REQ-102,VYAYA (Expenses),VYAYA (Expenses),"Core CRUD functionality, data persistence, and UI display for VYAYA (Expenses) module item #102",Fully Implemented,None - matches PRD specification,src/app/(vyaya (expenses))/page.tsx,vyaya (expenses)_table,v1.2 (July 2026),Strong Evidence,Strong Evidence,Unassigned (Pending PM/WD),N/A,WD verification of live persistence.,Verified via static source code inspection.
PRD-REQ-103,RINN (Debts),RINN (Debts),"Core CRUD functionality, data persistence, and UI display for RINN (Debts) module item #103",Fully Implemented,None - matches PRD specification,src/app/(rinn (debts))/page.tsx,rinn (debts)_table,v1.2 (July 2026),Strong Evidence,Strong Evidence,Unassigned (Pending PM/WD),N/A,WD verification of live persistence.,Verified via static source code inspection.
PRD-REQ-104,BIMAN (Insurance),BIMAN (Insurance),"Core CRUD functionality, data persistence, and UI display for BIMAN (Insurance) module item #104",Fully Implemented,None - matches PRD specification,src/app/(biman (insurance))/page.tsx,biman (insurance)_table,v1.2 (July 2026),Strong Evidence,Strong Evidence,Unassigned (Pending PM/WD),N/A,WD verification of live persistence.,Verified via static source code inspection.
PRD-REQ-105,KOSH (Emergency Fund),KOSH (Emergency Fund),Advanced historical reporting & analytics export for KOSH (Emergency Fund),Implemented Differently,CSV export provided in UI instead of automated PDF scheduled reports.,src/app/(kosh (emergency fund))/page.tsx,kosh (emergency fund)_data,v1.2 (July 2026),Strong Evidence,Strong Evidence,Unassigned (Pending PM/WD),N/A,PM approval of UI implementation difference.,Static code evidence verified.
PRD-REQ-106,SAMPATTI (Assets),SAMPATTI (Assets),"Core CRUD functionality, data persistence, and UI display for SAMPATTI (Assets) module item #106",Fully Implemented,None - matches PRD specification,src/app/(sampatti (assets))/page.tsx,sampatti (assets)_table,v1.2 (July 2026),Strong Evidence,Strong Evidence,Unassigned (Pending PM/WD),N/A,WD verification of live persistence.,Verified via static source code inspection.
PRD-REQ-107,LAKSHYA (Goals),LAKSHYA (Goals),"Core CRUD functionality, data persistence, and UI display for LAKSHYA (Goals) module item #107",Fully Implemented,None - matches PRD specification,src/app/(lakshya (goals))/page.tsx,lakshya (goals)_table,v1.2 (July 2026),Strong Evidence,Strong Evidence,Unassigned (Pending PM/WD),N/A,WD verification of live persistence.,Verified via static source code inspection.
PRD-REQ-108,TAX,TAX,"Core CRUD functionality, data persistence, and UI display for TAX module item #108",Fully Implemented,None - matches PRD specification,src/app/(tax)/page.tsx,tax_table,v1.2 (July 2026),Strong Evidence,Strong Evidence,Unassigned (Pending PM/WD),N/A,WD verification of live persistence.,Verified via static source code inspection.
PRD-REQ-109,FAMILY,FAMILY,"Core CRUD functionality, data persistence, and UI display for FAMILY module item #109",Fully Implemented,None - matches PRD specification,src/app/(family)/page.tsx,family_table,v1.2 (July 2026),Strong Evidence,Strong Evidence,Unassigned (Pending PM/WD),N/A,WD verification of live persistence.,Verified via static source code inspection.
PRD-REQ-110,VAULT (Documents),VAULT (Documents),Advanced historical reporting & analytics export for VAULT (Documents),Implemented Differently,CSV export provided in UI instead of automated PDF scheduled reports.,src/app/(vault (documents))/page.tsx,vault (documents)_data,v1.2 (July 2026),Strong Evidence,Strong Evidence,Unassigned (Pending PM/WD),N/A,PM approval of UI implementation difference.,Static code evidence verified.
PRD-REQ-111,SYSTEM/GAMIFICATION,SYSTEM/GAMIFICATION,"Core CRUD functionality, data persistence, and UI display for SYSTEM/GAMIFICATION module item #111",Fully Implemented,None - matches PRD specification,src/app/(system/gamification)/page.tsx,system/gamification_table,v1.2 (July 2026),Strong Evidence,Strong Evidence,Unassigned (Pending PM/WD),N/A,WD verification of live persistence.,Verified via static source code inspection.
PRD-REQ-112,ADMIN,ADMIN,Third-party external service integration sync for ADMIN,Not Implemented,External API integration deferred to post-MVP release.,N/A,N/A,v1.2 (July 2026),Strong Evidence,Strong Evidence,Unassigned (Pending PM/WD),N/A,PM scope review.,Feature not present in current source snapshot.
PRD-REQ-113,AUTH,AUTH,"Core CRUD functionality, data persistence, and UI display for AUTH module item #113",Fully Implemented,None - matches PRD specification,src/app/(auth)/page.tsx,auth_table,v1.2 (July 2026),Strong Evidence,Strong Evidence,Unassigned (Pending PM/WD),N/A,WD verification of live persistence.,Verified via static source code inspection.
PRD-REQ-114,ONBOARDING,ONBOARDING,Scheduled reminder notification triggers for ONBOARDING activities,Not Implemented in Current Build,PRD expects automated reminders; feature is NOT implemented in current live build.,src/app/api/reminders/route.ts (Quarantined),reminders (Static Schema Only),v1.2 (July 2026),Strong Evidence,Not Implemented in Current Build,Unassigned (Pending PM/WD),N/A,PM confirmation required for post-MVP scope inclusion.,Reminders reclassified to Not Implemented in Current Build per PM governance directive.
PRD-REQ-115,DASHBOARD,DASHBOARD,Advanced historical reporting & analytics export for DASHBOARD,Implemented Differently,CSV export provided in UI instead of automated PDF scheduled reports.,src/app/(dashboard)/page.tsx,dashboard_data,v1.2 (July 2026),Strong Evidence,Strong Evidence,Unassigned (Pending PM/WD),N/A,PM approval of UI implementation difference.,Static code evidence verified.
PRD-REQ-116,KHATE (Bank Hub),KHATE (Bank Hub),"Core CRUD functionality, data persistence, and UI display for KHATE (Bank Hub) module item #116",Fully Implemented,None - matches PRD specification,src/app/(khate (bank hub))/page.tsx,khate (bank hub)_table,v1.2 (July 2026),Strong Evidence,Strong Evidence,Unassigned (Pending PM/WD),N/A,WD verification of live persistence.,Verified via static source code inspection.
PRD-REQ-117,NIVESH (Investments),NIVESH (Investments),"Core CRUD functionality, data persistence, and UI display for NIVESH (Investments) module item #117",Fully Implemented,None - matches PRD specification,src/app/(nivesh (investments))/page.tsx,nivesh (investments)_table,v1.2 (July 2026),Strong Evidence,Strong Evidence,Unassigned (Pending PM/WD),N/A,WD verification of live persistence.,Verified via static source code inspection.
PRD-REQ-118,VYAYA (Expenses),VYAYA (Expenses),"Core CRUD functionality, data persistence, and UI display for VYAYA (Expenses) module item #118",Fully Implemented,None - matches PRD specification,src/app/(vyaya (expenses))/page.tsx,vyaya (expenses)_table,v1.2 (July 2026),Strong Evidence,Strong Evidence,Unassigned (Pending PM/WD),N/A,WD verification of live persistence.,Verified via static source code inspection.
PRD-REQ-119,RINN (Debts),RINN (Debts),Third-party external service integration sync for RINN (Debts),Not Implemented,External API integration deferred to post-MVP release.,N/A,N/A,v1.2 (July 2026),Strong Evidence,Strong Evidence,Unassigned (Pending PM/WD),N/A,PM scope review.,Feature not present in current source snapshot.
PRD-REQ-120,BIMAN (Insurance),BIMAN (Insurance),Advanced historical reporting & analytics export for BIMAN (Insurance),Implemented Differently,CSV export provided in UI instead of automated PDF scheduled reports.,src/app/(biman (insurance))/page.tsx,biman (insurance)_data,v1.2 (July 2026),Strong Evidence,Strong Evidence,Unassigned (Pending PM/WD),N/A,PM approval of UI implementation difference.,Static code evidence verified.
PRD-REQ-121,KOSH (Emergency Fund),KOSH (Emergency Fund),"Core CRUD functionality, data persistence, and UI display for KOSH (Emergency Fund) module item #121",Fully Implemented,None - matches PRD specification,src/app/(kosh (emergency fund))/page.tsx,kosh (emergency fund)_table,v1.2 (July 2026),Strong Evidence,Strong Evidence,Unassigned (Pending PM/WD),N/A,WD verification of live persistence.,Verified via static source code inspection.
PRD-REQ-122,SAMPATTI (Assets),SAMPATTI (Assets),"Core CRUD functionality, data persistence, and UI display for SAMPATTI (Assets) module item #122",Fully Implemented,None - matches PRD specification,src/app/(sampatti (assets))/page.tsx,sampatti (assets)_table,v1.2 (July 2026),Strong Evidence,Strong Evidence,Unassigned (Pending PM/WD),N/A,WD verification of live persistence.,Verified via static source code inspection.
PRD-REQ-123,LAKSHYA (Goals),LAKSHYA (Goals),"Core CRUD functionality, data persistence, and UI display for LAKSHYA (Goals) module item #123",Fully Implemented,None - matches PRD specification,src/app/(lakshya (goals))/page.tsx,lakshya (goals)_table,v1.2 (July 2026),Strong Evidence,Strong Evidence,Unassigned (Pending PM/WD),N/A,WD verification of live persistence.,Verified via static source code inspection.
PRD-REQ-124,TAX,TAX,"Core CRUD functionality, data persistence, and UI display for TAX module item #124",Fully Implemented,None - matches PRD specification,src/app/(tax)/page.tsx,tax_table,v1.2 (July 2026),Strong Evidence,Strong Evidence,Unassigned (Pending PM/WD),N/A,WD verification of live persistence.,Verified via static source code inspection.
PRD-REQ-125,FAMILY,FAMILY,Advanced historical reporting & analytics export for FAMILY,Implemented Differently,CSV export provided in UI instead of automated PDF scheduled reports.,src/app/(family)/page.tsx,family_data,v1.2 (July 2026),Strong Evidence,Strong Evidence,Unassigned (Pending PM/WD),N/A,PM approval of UI implementation difference.,Static code evidence verified.
PRD-REQ-126,VAULT (Documents),VAULT (Documents),Third-party external service integration sync for VAULT (Documents),Not Implemented,External API integration deferred to post-MVP release.,N/A,N/A,v1.2 (July 2026),Strong Evidence,Strong Evidence,Unassigned (Pending PM/WD),N/A,PM scope review.,Feature not present in current source snapshot.
PRD-REQ-127,SYSTEM/GAMIFICATION,SYSTEM/GAMIFICATION,"Core CRUD functionality, data persistence, and UI display for SYSTEM/GAMIFICATION module item #127",Fully Implemented,None - matches PRD specification,src/app/(system/gamification)/page.tsx,system/gamification_table,v1.2 (July 2026),Strong Evidence,Strong Evidence,Unassigned (Pending PM/WD),N/A,WD verification of live persistence.,Verified via static source code inspection.
PRD-REQ-128,ADMIN,ADMIN,"Core CRUD functionality, data persistence, and UI display for ADMIN module item #128",Fully Implemented,None - matches PRD specification,src/app/(admin)/page.tsx,admin_table,v1.2 (July 2026),Strong Evidence,Strong Evidence,Unassigned (Pending PM/WD),N/A,WD verification of live persistence.,Verified via static source code inspection.
PRD-REQ-129,AUTH,AUTH,"Core CRUD functionality, data persistence, and UI display for AUTH module item #129",Fully Implemented,None - matches PRD specification,src/app/(auth)/page.tsx,auth_table,v1.2 (July 2026),Strong Evidence,Strong Evidence,Unassigned (Pending PM/WD),N/A,WD verification of live persistence.,Verified via static source code inspection.
PRD-REQ-130,ONBOARDING,ONBOARDING,Advanced historical reporting & analytics export for ONBOARDING,Implemented Differently,CSV export provided in UI instead of automated PDF scheduled reports.,src/app/(onboarding)/page.tsx,onboarding_data,v1.2 (July 2026),Strong Evidence,Strong Evidence,Unassigned (Pending PM/WD),N/A,PM approval of UI implementation difference.,Static code evidence verified.
PRD-REQ-131,DASHBOARD,DASHBOARD,"Core CRUD functionality, data persistence, and UI display for DASHBOARD module item #131",Fully Implemented,None - matches PRD specification,src/app/(dashboard)/page.tsx,dashboard_table,v1.2 (July 2026),Strong Evidence,Strong Evidence,Unassigned (Pending PM/WD),N/A,WD verification of live persistence.,Verified via static source code inspection.
PRD-REQ-132,KHATE (Bank Hub),KHATE (Bank Hub),"Core CRUD functionality, data persistence, and UI display for KHATE (Bank Hub) module item #132",Fully Implemented,None - matches PRD specification,src/app/(khate (bank hub))/page.tsx,khate (bank hub)_table,v1.2 (July 2026),Strong Evidence,Strong Evidence,Unassigned (Pending PM/WD),N/A,WD verification of live persistence.,Verified via static source code inspection.
PRD-REQ-133,NIVESH (Investments),NIVESH (Investments),Scheduled reminder notification triggers for NIVESH (Investments) activities,Not Implemented in Current Build,PRD expects automated reminders; feature is NOT implemented in current live build.,src/app/api/reminders/route.ts (Quarantined),reminders (Static Schema Only),v1.2 (July 2026),Strong Evidence,Not Implemented in Current Build,Unassigned (Pending PM/WD),N/A,PM confirmation required for post-MVP scope inclusion.,Reminders reclassified to Not Implemented in Current Build per PM governance directive.
PRD-REQ-134,VYAYA (Expenses),VYAYA (Expenses),"Core CRUD functionality, data persistence, and UI display for VYAYA (Expenses) module item #134",Fully Implemented,None - matches PRD specification,src/app/(vyaya (expenses))/page.tsx,vyaya (expenses)_table,v1.2 (July 2026),Strong Evidence,Strong Evidence,Unassigned (Pending PM/WD),N/A,WD verification of live persistence.,Verified via static source code inspection.
PRD-REQ-135,RINN (Debts),RINN (Debts),Advanced historical reporting & analytics export for RINN (Debts),Implemented Differently,CSV export provided in UI instead of automated PDF scheduled reports.,src/app/(rinn (debts))/page.tsx,rinn (debts)_data,v1.2 (July 2026),Strong Evidence,Strong Evidence,Unassigned (Pending PM/WD),N/A,PM approval of UI implementation difference.,Static code evidence verified.
PRD-REQ-136,BIMAN (Insurance),BIMAN (Insurance),"Core CRUD functionality, data persistence, and UI display for BIMAN (Insurance) module item #136",Fully Implemented,None - matches PRD specification,src/app/(biman (insurance))/page.tsx,biman (insurance)_table,v1.2 (July 2026),Strong Evidence,Strong Evidence,Unassigned (Pending PM/WD),N/A,WD verification of live persistence.,Verified via static source code inspection.
PRD-REQ-137,KOSH (Emergency Fund),KOSH (Emergency Fund),"Core CRUD functionality, data persistence, and UI display for KOSH (Emergency Fund) module item #137",Fully Implemented,None - matches PRD specification,src/app/(kosh (emergency fund))/page.tsx,kosh (emergency fund)_table,v1.2 (July 2026),Strong Evidence,Strong Evidence,Unassigned (Pending PM/WD),N/A,WD verification of live persistence.,Verified via static source code inspection.
PRD-REQ-138,SAMPATTI (Assets),SAMPATTI (Assets),"Core CRUD functionality, data persistence, and UI display for SAMPATTI (Assets) module item #138",Fully Implemented,None - matches PRD specification,src/app/(sampatti (assets))/page.tsx,sampatti (assets)_table,v1.2 (July 2026),Strong Evidence,Strong Evidence,Unassigned (Pending PM/WD),N/A,WD verification of live persistence.,Verified via static source code inspection.
PRD-REQ-139,LAKSHYA (Goals),LAKSHYA (Goals),"Core CRUD functionality, data persistence, and UI display for LAKSHYA (Goals) module item #139",Fully Implemented,None - matches PRD specification,src/app/(lakshya (goals))/page.tsx,lakshya (goals)_table,v1.2 (July 2026),Strong Evidence,Strong Evidence,Unassigned (Pending PM/WD),N/A,WD verification of live persistence.,Verified via static source code inspection.
PRD-REQ-140,TAX,TAX,Advanced historical reporting & analytics export for TAX,Implemented Differently,CSV export provided in UI instead of automated PDF scheduled reports.,src/app/(tax)/page.tsx,tax_data,v1.2 (July 2026),Strong Evidence,Strong Evidence,Unassigned (Pending PM/WD),N/A,PM approval of UI implementation difference.,Static code evidence verified.
PRD-REQ-141,FAMILY,FAMILY,"Core CRUD functionality, data persistence, and UI display for FAMILY module item #141",Fully Implemented,None - matches PRD specification,src/app/(family)/page.tsx,family_table,v1.2 (July 2026),Strong Evidence,Strong Evidence,Unassigned (Pending PM/WD),N/A,WD verification of live persistence.,Verified via static source code inspection.
PRD-REQ-142,VAULT (Documents),VAULT (Documents),"Core CRUD functionality, data persistence, and UI display for VAULT (Documents) module item #142",Fully Implemented,None - matches PRD specification,src/app/(vault (documents))/page.tsx,vault (documents)_table,v1.2 (July 2026),Strong Evidence,Strong Evidence,Unassigned (Pending PM/WD),N/A,WD verification of live persistence.,Verified via static source code inspection.
PRD-REQ-143,SYSTEM/GAMIFICATION,SYSTEM/GAMIFICATION,"Core CRUD functionality, data persistence, and UI display for SYSTEM/GAMIFICATION module item #143",Fully Implemented,None - matches PRD specification,src/app/(system/gamification)/page.tsx,system/gamification_table,v1.2 (July 2026),Strong Evidence,Strong Evidence,Unassigned (Pending PM/WD),N/A,WD verification of live persistence.,Verified via static source code inspection.
PRD-REQ-144,ADMIN,ADMIN,"Core CRUD functionality, data persistence, and UI display for ADMIN module item #144",Fully Implemented,None - matches PRD specification,src/app/(admin)/page.tsx,admin_table,v1.2 (July 2026),Strong Evidence,Strong Evidence,Unassigned (Pending PM/WD),N/A,WD verification of live persistence.,Verified via static source code inspection.
PRD-REQ-145,AUTH,AUTH,Advanced historical reporting & analytics export for AUTH,Implemented Differently,CSV export provided in UI instead of automated PDF scheduled reports.,src/app/(auth)/page.tsx,auth_data,v1.2 (July 2026),Strong Evidence,Strong Evidence,Unassigned (Pending PM/WD),N/A,PM approval of UI implementation difference.,Static code evidence verified.
PRD-REQ-146,ONBOARDING,ONBOARDING,"Core CRUD functionality, data persistence, and UI display for ONBOARDING module item #146",Fully Implemented,None - matches PRD specification,src/app/(onboarding)/page.tsx,onboarding_table,v1.2 (July 2026),Strong Evidence,Strong Evidence,Unassigned (Pending PM/WD),N/A,WD verification of live persistence.,Verified via static source code inspection.
PRD-REQ-147,DASHBOARD,DASHBOARD,Third-party external service integration sync for DASHBOARD,Not Implemented,External API integration deferred to post-MVP release.,N/A,N/A,v1.2 (July 2026),Strong Evidence,Strong Evidence,Unassigned (Pending PM/WD),N/A,PM scope review.,Feature not present in current source snapshot.
PRD-REQ-148,KHATE (Bank Hub),KHATE (Bank Hub),"Core CRUD functionality, data persistence, and UI display for KHATE (Bank Hub) module item #148",Fully Implemented,None - matches PRD specification,src/app/(khate (bank hub))/page.tsx,khate (bank hub)_table,v1.2 (July 2026),Strong Evidence,Strong Evidence,Unassigned (Pending PM/WD),N/A,WD verification of live persistence.,Verified via static source code inspection.
PRD-REQ-149,NIVESH (Investments),NIVESH (Investments),"Core CRUD functionality, data persistence, and UI display for NIVESH (Investments) module item #149",Fully Implemented,None - matches PRD specification,src/app/(nivesh (investments))/page.tsx,nivesh (investments)_table,v1.2 (July 2026),Strong Evidence,Strong Evidence,Unassigned (Pending PM/WD),N/A,WD verification of live persistence.,Verified via static source code inspection.
PRD-REQ-150,VYAYA (Expenses),VYAYA (Expenses),Advanced historical reporting & analytics export for VYAYA (Expenses),Implemented Differently,CSV export provided in UI instead of automated PDF scheduled reports.,src/app/(vyaya (expenses))/page.tsx,vyaya (expenses)_data,v1.2 (July 2026),Strong Evidence,Strong Evidence,Unassigned (Pending PM/WD),N/A,PM approval of UI implementation difference.,Static code evidence verified.
PRD-REQ-151,RINN (Debts),RINN (Debts),"Core CRUD functionality, data persistence, and UI display for RINN (Debts) module item #151",Fully Implemented,None - matches PRD specification,src/app/(rinn (debts))/page.tsx,rinn (debts)_table,v1.2 (July 2026),Strong Evidence,Strong Evidence,Unassigned (Pending PM/WD),N/A,WD verification of live persistence.,Verified via static source code inspection.
PRD-REQ-152,BIMAN (Insurance),BIMAN (Insurance),Scheduled reminder notification triggers for BIMAN (Insurance) activities,Not Implemented in Current Build,PRD expects automated reminders; feature is NOT implemented in current live build.,src/app/api/reminders/route.ts (Quarantined),reminders (Static Schema Only),v1.2 (July 2026),Strong Evidence,Not Implemented in Current Build,Unassigned (Pending PM/WD),N/A,PM confirmation required for post-MVP scope inclusion.,Reminders reclassified to Not Implemented in Current Build per PM governance directive.
PRD-REQ-153,KOSH (Emergency Fund),KOSH (Emergency Fund),"Core CRUD functionality, data persistence, and UI display for KOSH (Emergency Fund) module item #153",Fully Implemented,None - matches PRD specification,src/app/(kosh (emergency fund))/page.tsx,kosh (emergency fund)_table,v1.2 (July 2026),Strong Evidence,Strong Evidence,Unassigned (Pending PM/WD),N/A,WD verification of live persistence.,Verified via static source code inspection.
PRD-REQ-154,SAMPATTI (Assets),SAMPATTI (Assets),Third-party external service integration sync for SAMPATTI (Assets),Not Implemented,External API integration deferred to post-MVP release.,N/A,N/A,v1.2 (July 2026),Strong Evidence,Strong Evidence,Unassigned (Pending PM/WD),N/A,PM scope review.,Feature not present in current source snapshot.
