Usage ID,Module,Feature / Flow,Source File,Function / Component Name,Supabase Client File,Supabase Operation Type,Code Pattern Found,Table / Function / Bucket,Fields Read,Fields Written,Filters / Conditions Used,Insert / Update Payload Source,Delete Behaviour,RPC / Edge Function Name,Storage Bucket,Auth Usage,Error Handling Present,Loading State Present,Success Handling Present,Related Modules,Dashboard Impact,Reminder Impact,Document Vault Impact,Auth / Security Impact,Data Loss Risk,Calculation Risk,Shared Service Used,Direct Call or Service Layer,Duplicate Logic Risk,Hardcoded Table / Field Risk,RLS / Permission Risk,Evidence / Code Reference,Confidence,Needs WD Verification,Recommended Next Action,Notes
SBU-024,Authentication,Initialize Supabase client/session boundary,src/app/api/auth/google-callback/route.ts,Inline or module-scope call - Needs WD Verification,Direct @supabase/supabase-js createClient in src/app/api/auth/google-callback/route.ts,unknown,createClient(...),Supabase project client,Client configuration or imported helper,None - client initialization only,Client context and cookie/session options; exact runtime values not included,"process.env.NEXT_PUBLIC_SUPABASE_URL!, process.env.SUPABASE_SERVICE_ROLE_KEY!, { auth: { autoRefreshToken: false, persistSession: false, }, }",No delete operation in this usage,None,None,None,Unknown,No,Not applicable,Profile / Foundation; Dashboard / Rajya; Protected routes; Documents / Vault,Yes,No,Probable,High - administrative auth client and service-role boundary,Low,Low - no calculation logic in this usage,Direct @supabase/supabase-js createClient in src/app/api/auth/google-callback/route.ts,API route,Yes - 29 similar usages across 27 file(s); verify whether shared helper/service should be authoritative,No database table/field literal in this auth/client usage,Administrative/service-role boundary can bypass RLS; authorization and key isolation Need Himanshu/Harsh Verification,src/app/api/auth/google-callback/route.ts:7; Inline or module-scope call - Needs WD Verification; createClient(...); No direct Supabase public-table query in this usage; Not applicable,Strong Evidence,Yes,"Himanshu/Harsh to verify server-only authorization, service-role key isolation and audit logging",Static source evidence only. No direct Supabase public-table query in this usage. Not applicable. Safety basis: AUDIT_WORKSPACE_SAFETY_CHECKLIST.md; no live connection used.
SBU-025,Authentication,Find Supabase Auth user during Google callback,src/app/api/auth/google-callback/route.ts,GET,Direct @supabase/supabase-js createClient in src/app/api/auth/google-callback/route.ts,auth,supabaseAdmin.auth.admin.listUsers(...),Supabase Auth,Supabase Auth user list,None identified,Auth method conditions in caller; Needs WD Verification,Not applicable,No delete operation in this usage,None,None,listUsers; admin auth context,Partial,Not applicable - request scoped,Partial,Profile / Foundation; Dashboard / Rajya; Protected routes; Documents / Vault,Yes,No,Probable,High - administrative auth client and service-role boundary,Low,Low - no calculation logic in this usage,Direct @supabase/supabase-js createClient in src/app/api/auth/google-callback/route.ts,API route,No duplicate operation found by static operation/resource grouping,No database table/field literal in this auth/client usage,Administrative/service-role boundary can bypass RLS; authorization and key isolation Need Himanshu/Harsh Verification,src/app/api/auth/google-callback/route.ts:179; GET; supabaseAdmin.auth.admin.listUsers(...); No direct Supabase public-table query in this usage; Not applicable,Strong Evidence,Yes,"Himanshu/Harsh to verify server-only authorization, service-role key isolation and audit logging",Static source evidence only. No direct Supabase public-table query in this usage. Not applicable. Safety basis: AUDIT_WORKSPACE_SAFETY_CHECKLIST.md; no live connection used.
SBU-026,Authentication,Create Supabase Auth user during Google callback,src/app/api/auth/google-callback/route.ts,Inline or module-scope call - Needs WD Verification,Direct @supabase/supabase-js createClient in src/app/api/auth/google-callback/route.ts,auth,supabaseAdmin.auth.admin.createUser(...),Supabase Auth,created auth user,"email, password and user metadata",Auth method conditions in caller; Needs WD Verification,"{ email, email_confirm: true, user_metadata: { name }, }",No delete operation in this usage,None,None,createUser; admin auth context,Partial,Not applicable - request scoped,Partial,Profile / Foundation; Dashboard / Rajya; Protected routes; Documents / Vault,Yes,No,Probable,High - administrative auth client and service-role boundary,Medium,Low - no calculation logic in this usage,Direct @supabase/supabase-js createClient in src/app/api/auth/google-callback/route.ts,API route,No duplicate operation found by static operation/resource grouping,No database table/field literal in this auth/client usage,Administrative/service-role boundary can bypass RLS; authorization and key isolation Need Himanshu/Harsh Verification,src/app/api/auth/google-callback/route.ts:195; Inline or module-scope call - Needs WD Verification; supabaseAdmin.auth.admin.createUser(...); No direct Supabase public-table query in this usage; Not applicable,Strong Evidence,Yes,"Himanshu/Harsh to verify server-only authorization, service-role key isolation and audit logging",Static source evidence only. No direct Supabase public-table query in this usage. Not applicable. Safety basis: AUDIT_WORKSPACE_SAFETY_CHECKLIST.md; no live connection used.
SBU-027,Authentication,Generate administrative auth link,src/app/api/auth/google-callback/route.ts,Inline or module-scope call - Needs WD Verification,Direct @supabase/supabase-js createClient in src/app/api/auth/google-callback/route.ts,auth,supabaseAdmin.auth.admin.generateLink(...),Supabase Auth,action link and auth properties,auth action-link request,Auth method conditions in caller; Needs WD Verification,"{ type: 'magiclink', email: email, options: { redirectTo: `${process.env.NEXT_PUBLIC_SITE_URL || 'https://svarajya.com'}/start?success=${isNewUser ? 'Google_Signup' : 'Google_Login'}`, }, }",No delete operation in this usage,None,None,generateLink; admin auth context,Partial,Not applicable - request scoped,Partial,Profile / Foundation; Dashboard / Rajya; Protected routes; Documents / Vault,Yes,No,Probable,High - administrative auth client and service-role boundary,Low,Low - no calculation logic in this usage,Direct @supabase/supabase-js createClient in src/app/api/auth/google-callback/route.ts,API route,Yes - 3 similar usages across 3 file(s); verify whether shared helper/service should be authoritative,No database table/field literal in this auth/client usage,Administrative/service-role boundary can bypass RLS; authorization and key isolation Need Himanshu/Harsh Verification,src/app/api/auth/google-callback/route.ts:233; Inline or module-scope call - Needs WD Verification; supabaseAdmin.auth.admin.generateLink(...); No direct Supabase public-table query in this usage; Not applicable,Strong Evidence,Yes,"Himanshu/Harsh to verify server-only authorization, service-role key isolation and audit logging",Static source evidence only. No direct Supabase public-table query in this usage. Not applicable. Safety basis: AUDIT_WORKSPACE_SAFETY_CHECKLIST.md; no live connection used.
SBU-028,Authentication,Initialize Supabase client/session boundary,src/app/api/auth/google-status/route.ts,GET,src/lib/supabase/server.ts,unknown,createClient(...),Supabase project client,Client configuration or imported helper,None - client initialization only,Client context and cookie/session options; exact runtime values not included,No payload argument,No delete operation in this usage,None,None,None,Yes,Not applicable - request scoped,Yes,Profile / Foundation; Dashboard / Rajya; Protected routes; Documents / Vault,Yes,No,Probable,High - client/session construction boundary,Low,Low - no calculation logic in this usage,src/lib/supabase/server.ts,API route,Yes - 29 similar usages across 27 file(s); verify whether shared helper/service should be authoritative,No database table/field literal in this auth/client usage,No direct table/storage permission check in this client initialization; downstream calls determine risk,src/app/api/auth/google-status/route.ts:7; GET; createClient(...); No direct Supabase public-table query in this usage; Not applicable,Strong Evidence,Yes,WD to confirm this is an approved canonical client path and verify environment/session separation,Static source evidence only. No direct Supabase public-table query in this usage. Not applicable. Safety basis: AUDIT_WORKSPACE_SAFETY_CHECKLIST.md; no live connection used.
SBU-029,Authentication,Read or restore current session,src/app/api/auth/google-status/route.ts,GET,src/lib/supabase/server.ts,auth,supabase.auth.getSession(...),Supabase Auth,"session, user, access context",None identified,Current browser/server session or cookie context,Not applicable,No delete operation in this usage,None,None,getSession; user/session auth context,Yes,Not applicable - request scoped,Yes,Profile / Foundation; Dashboard / Rajya; Protected routes; Documents / Vault,Yes,No,Probable,"High - session, credential, redirect or user lifecycle behavior",Low,Low - no calculation logic in this usage,src/lib/supabase/server.ts,API route,Yes - 9 similar usages across 9 file(s); verify whether shared helper/service should be authoritative,No database table/field literal in this auth/client usage,"Supabase Auth endpoint; public-table RLS is not the direct boundary, but session/profile authorization Needs Himanshu Verification",src/app/api/auth/google-status/route.ts:8; GET; supabase.auth.getSession(...); No direct Supabase public-table query in this usage; Not applicable,Strong Evidence,Yes,"Run isolated dummy-user auth flow and verify redirects, cookies, profile synchronization, error UI and logout/session restoration",Static source evidence only. No direct Supabase public-table query in this usage. Not applicable. Safety basis: AUDIT_WORKSPACE_SAFETY_CHECKLIST.md; no live connection used.
SBU-030,Authentication,Initialize Supabase client/session boundary,src/app/api/auth/google/route.ts,GET,src/lib/supabase/server.ts,unknown,createClient(...),Supabase project client,Client configuration or imported helper,None - client initialization only,Client context and cookie/session options; exact runtime values not included,No payload argument,No delete operation in this usage,None,None,None,Yes,Not applicable - request scoped,Yes,Profile / Foundation; Dashboard / Rajya; Protected routes; Documents / Vault,Yes,No,Probable,High - client/session construction boundary,Low,Low - no calculation logic in this usage,src/lib/supabase/server.ts,API route,Yes - 29 similar usages across 27 file(s); verify whether shared helper/service should be authoritative,No database table/field literal in this auth/client usage,No direct table/storage permission check in this client initialization; downstream calls determine risk,src/app/api/auth/google/route.ts:6; GET; createClient(...); No direct Supabase public-table query in this usage; Not applicable,Strong Evidence,Yes,WD to confirm this is an approved canonical client path and verify environment/session separation,Static source evidence only. No direct Supabase public-table query in this usage. Not applicable. Safety basis: AUDIT_WORKSPACE_SAFETY_CHECKLIST.md; no live connection used.
SBU-031,Authentication,Read or restore current session,src/app/api/auth/google/route.ts,GET,src/lib/supabase/server.ts,auth,supabase.auth.getSession(...),Supabase Auth,"session, user, access context",None identified,Current browser/server session or cookie context,Not applicable,No delete operation in this usage,None,None,getSession; user/session auth context,Yes,Not applicable - request scoped,Yes,Profile / Foundation; Dashboard / Rajya; Protected routes; Documents / Vault,Yes,No,Probable,"High - session, credential, redirect or user lifecycle behavior",Low,Low - no calculation logic in this usage,src/lib/supabase/server.ts,API route,Yes - 9 similar usages across 9 file(s); verify whether shared helper/service should be authoritative,No database table/field literal in this auth/client usage,"Supabase Auth endpoint; public-table RLS is not the direct boundary, but session/profile authorization Needs Himanshu Verification",src/app/api/auth/google/route.ts:7; GET; supabase.auth.getSession(...); No direct Supabase public-table query in this usage; Not applicable,Strong Evidence,Yes,"Run isolated dummy-user auth flow and verify redirects, cookies, profile synchronization, error UI and logout/session restoration",Static source evidence only. No direct Supabase public-table query in this usage. Not applicable. Safety basis: AUDIT_WORKSPACE_SAFETY_CHECKLIST.md; no live connection used.
SBU-032,Authentication,Initialize Supabase client/session boundary,src/app/api/auth/link-google/route.ts,GET,src/lib/supabase/server.ts,unknown,createClient(...),Supabase project client,Client configuration or imported helper,None - client initialization only,Client context and cookie/session options; exact runtime values not included,No payload argument,No delete operation in this usage,None,None,None,Yes,Not applicable - request scoped,Yes,Profile / Foundation; Dashboard / Rajya; Protected routes; Documents / Vault,Yes,No,Probable,High - client/session construction boundary,Low,Low - no calculation logic in this usage,src/lib/supabase/server.ts,API route,Yes - 29 similar usages across 27 file(s); verify whether shared helper/service should be authoritative,No database table/field literal in this auth/client usage,No direct table/storage permission check in this client initialization; downstream calls determine risk,src/app/api/auth/link-google/route.ts:6; GET; createClient(...); No direct Supabase public-table query in this usage; Not applicable,Strong Evidence,Yes,WD to confirm this is an approved canonical client path and verify environment/session separation,Static source evidence only. No direct Supabase public-table query in this usage. Not applicable. Safety basis: AUDIT_WORKSPACE_SAFETY_CHECKLIST.md; no live connection used.
SBU-033,Authentication,Read or restore current session,src/app/api/auth/link-google/route.ts,GET,src/lib/supabase/server.ts,auth,supabase.auth.getSession(...),Supabase Auth,"session, user, access context",None identified,Current browser/server session or cookie context,Not applicable,No delete operation in this usage,None,None,getSession; user/session auth context,Yes,Not applicable - request scoped,Yes,Profile / Foundation; Dashboard / Rajya; Protected routes; Documents / Vault,Yes,No,Probable,"High - session, credential, redirect or user lifecycle behavior",Low,Low - no calculation logic in this usage,src/lib/supabase/server.ts,API route,Yes - 9 similar usages across 9 file(s); verify whether shared helper/service should be authoritative,No database table/field literal in this auth/client usage,"Supabase Auth endpoint; public-table RLS is not the direct boundary, but session/profile authorization Needs Himanshu Verification",src/app/api/auth/link-google/route.ts:7; GET; supabase.auth.getSession(...); No direct Supabase public-table query in this usage; Not applicable,Strong Evidence,Yes,"Run isolated dummy-user auth flow and verify redirects, cookies, profile synchronization, error UI and logout/session restoration",Static source evidence only. No direct Supabase public-table query in this usage. Not applicable. Safety basis: AUDIT_WORKSPACE_SAFETY_CHECKLIST.md; no live connection used.
SBU-034,Authentication,Initialize Supabase client/session boundary,src/app/api/auth/send-confirmation/route.ts,Inline or module-scope call - Needs WD Verification,Direct @supabase/supabase-js createClient in src/app/api/auth/send-confirmation/route.ts,unknown,createClient(...),Supabase project client,Client configuration or imported helper,None - client initialization only,Client context and cookie/session options; exact runtime values not included,"process.env.NEXT_PUBLIC_SUPABASE_URL!, process.env.SUPABASE_SERVICE_ROLE_KEY!",No delete operation in this usage,None,None,None,Yes,Not applicable - request scoped,Yes,Profile / Foundation; Dashboard / Rajya; Protected routes; Documents / Vault,Yes,No,Probable,High - administrative auth client and service-role boundary,Low,Low - no calculation logic in this usage,Direct @supabase/supabase-js createClient in src/app/api/auth/send-confirmation/route.ts,API route,Yes - 29 similar usages across 27 file(s); verify whether shared helper/service should be authoritative,No database table/field literal in this auth/client usage,Administrative/service-role boundary can bypass RLS; authorization and key isolation Need Himanshu/Harsh Verification,src/app/api/auth/send-confirmation/route.ts:9; Inline or module-scope call - Needs WD Verification; createClient(...); No direct Supabase public-table query in this usage; Not applicable,Strong Evidence,Yes,"Himanshu/Harsh to verify server-only authorization, service-role key isolation and audit logging",Static source evidence only. No direct Supabase public-table query in this usage. Not applicable. Safety basis: AUDIT_WORKSPACE_SAFETY_CHECKLIST.md; no live connection used.
SBU-035,Authentication,Generate administrative auth link,src/app/api/auth/send-confirmation/route.ts,POST,Direct @supabase/supabase-js createClient in src/app/api/auth/send-confirmation/route.ts,auth,supabaseAdmin.auth.admin.generateLink(...),Supabase Auth,action link and auth properties,auth action-link request,Auth method conditions in caller; Needs WD Verification,"{ type: 'signup', email, password, }",No delete operation in this usage,None,None,generateLink; admin auth context,Yes,Not applicable - request scoped,Yes,Profile / Foundation; Dashboard / Rajya; Protected routes; Documents / Vault,Yes,No,Probable,High - administrative auth client and service-role boundary,Low,Low - no calculation logic in this usage,Direct @supabase/supabase-js createClient in src/app/api/auth/send-confirmation/route.ts,API route,Yes - 3 similar usages across 3 file(s); verify whether shared helper/service should be authoritative,No database table/field literal in this auth/client usage,Administrative/service-role boundary can bypass RLS; authorization and key isolation Need Himanshu/Harsh Verification,src/app/api/auth/send-confirmation/route.ts:35; POST; supabaseAdmin.auth.admin.generateLink(...); No direct Supabase public-table query in this usage; Not applicable,Strong Evidence,Yes,"Himanshu/Harsh to verify server-only authorization, service-role key isolation and audit logging",Static source evidence only. No direct Supabase public-table query in this usage. Not applicable. Safety basis: AUDIT_WORKSPACE_SAFETY_CHECKLIST.md; no live connection used.
SBU-036,Authentication,Initialize Supabase client/session boundary,src/app/api/auth/send-reset/route.ts,Inline or module-scope call - Needs WD Verification,Direct @supabase/supabase-js createClient in src/app/api/auth/send-reset/route.ts,unknown,createClient(...),Supabase project client,Client configuration or imported helper,None - client initialization only,Client context and cookie/session options; exact runtime values not included,"process.env.NEXT_PUBLIC_SUPABASE_URL!, process.env.SUPABASE_SERVICE_ROLE_KEY!",No delete operation in this usage,None,None,None,Yes,Not applicable - request scoped,Yes,Profile / Foundation; Dashboard / Rajya; Protected routes; Documents / Vault,Yes,No,Probable,High - administrative auth client and service-role boundary,Low,Low - no calculation logic in this usage,Direct @supabase/supabase-js createClient in src/app/api/auth/send-reset/route.ts,API route,Yes - 29 similar usages across 27 file(s); verify whether shared helper/service should be authoritative,No database table/field literal in this auth/client usage,Administrative/service-role boundary can bypass RLS; authorization and key isolation Need Himanshu/Harsh Verification,src/app/api/auth/send-reset/route.ts:8; Inline or module-scope call - Needs WD Verification; createClient(...); No direct Supabase public-table query in this usage; Not applicable,Strong Evidence,Yes,"Himanshu/Harsh to verify server-only authorization, service-role key isolation and audit logging",Static source evidence only. No direct Supabase public-table query in this usage. Not applicable. Safety basis: AUDIT_WORKSPACE_SAFETY_CHECKLIST.md; no live connection used.
SBU-037,Authentication,Generate administrative auth link,src/app/api/auth/send-reset/route.ts,POST,Direct @supabase/supabase-js createClient in src/app/api/auth/send-reset/route.ts,auth,supabaseAdmin.auth.admin.generateLink(...),Supabase Auth,action link and auth properties,auth action-link request,Auth method conditions in caller; Needs WD Verification,"{ type: 'recovery', email, }",No delete operation in this usage,None,None,generateLink; admin auth context,Yes,Not applicable - request scoped,Yes,Profile / Foundation; Dashboard / Rajya; Protected routes; Documents / Vault,Yes,No,Probable,High - administrative auth client and service-role boundary,Low,Low - no calculation logic in this usage,Direct @supabase/supabase-js createClient in src/app/api/auth/send-reset/route.ts,API route,Yes - 3 similar usages across 3 file(s); verify whether shared helper/service should be authoritative,No database table/field literal in this auth/client usage,Administrative/service-role boundary can bypass RLS; authorization and key isolation Need Himanshu/Harsh Verification,src/app/api/auth/send-reset/route.ts:21; POST; supabaseAdmin.auth.admin.generateLink(...); No direct Supabase public-table query in this usage; Not applicable,Strong Evidence,Yes,"Himanshu/Harsh to verify server-only authorization, service-role key isolation and audit logging",Static source evidence only. No direct Supabase public-table query in this usage. Not applicable. Safety basis: AUDIT_WORKSPACE_SAFETY_CHECKLIST.md; no live connection used.
SBU-038,Documents / Vault,Initialize Supabase client/session boundary,src/app/api/google-drive/download/route.ts,GET,src/lib/supabase/server.ts,unknown,createClient(...),Supabase project client,Client configuration or imported helper,None - client initialization only,Client context and cookie/session options; exact runtime values not included,No payload argument,No delete operation in this usage,None,None,None,Yes,Not applicable - request scoped,Yes,All upload-capable modules,Probable,Probable,Needs WD Verification,High - client/session construction boundary,Low,Low - no calculation logic in this usage,src/lib/supabase/server.ts,API route,Yes - 29 similar usages across 27 file(s); verify whether shared helper/service should be authoritative,No database table/field literal in this auth/client usage,No direct table/storage permission check in this client initialization; downstream calls determine risk,src/app/api/google-drive/download/route.ts:18; GET; createClient(...); No direct Supabase public-table query in this usage; Not applicable,Strong Evidence,Yes,WD to confirm this is an approved canonical client path and verify environment/session separation,Static source evidence only. No direct Supabase public-table query in this usage. Not applicable. Safety basis: AUDIT_WORKSPACE_SAFETY_CHECKLIST.md; no live connection used.
SBU-039,Documents / Vault,Authorize Google Drive request,src/app/api/google-drive/download/route.ts,GET,src/lib/supabase/server.ts,auth,supabase.auth.getSession(...),Supabase Auth,"session, user, access context",None identified,Current browser/server session or cookie context,Not applicable,No delete operation in this usage,None,None,getSession; user/session auth context,Yes,Not applicable - request scoped,Yes,All upload-capable modules,Probable,Probable,Needs WD Verification,"High - session, credential, redirect or user lifecycle behavior",Low,Low - no calculation logic in this usage,src/lib/supabase/server.ts,API route,Yes - 9 similar usages across 9 file(s); verify whether shared helper/service should be authoritative,No database table/field literal in this auth/client usage,"Supabase Auth endpoint; public-table RLS is not the direct boundary, but session/profile authorization Needs Himanshu Verification",src/app/api/google-drive/download/route.ts:19; GET; supabase.auth.getSession(...); No direct Supabase public-table query in this usage; Not applicable,Strong Evidence,Yes,"Run isolated dummy-user auth flow and verify redirects, cookies, profile synchronization, error UI and logout/session restoration",Static source evidence only. No direct Supabase public-table query in this usage. Not applicable. Safety basis: AUDIT_WORKSPACE_SAFETY_CHECKLIST.md; no live connection used.
SBU-040,Documents / Vault,Initialize Supabase client/session boundary,src/app/api/google-drive/upload/route.ts,POST,src/lib/supabase/server.ts,unknown,createClient(...),Supabase project client,Client configuration or imported helper,None - client initialization only,Client context and cookie/session options; exact runtime values not included,No payload argument,No delete operation in this usage,None,None,None,Yes,Not applicable - request scoped,Yes,All upload-capable modules,Probable,Probable,Needs WD Verification,High - client/session construction boundary,Low,Low - no calculation logic in this usage,src/lib/supabase/server.ts,API route,Yes - 29 similar usages across 27 file(s); verify whether shared helper/service should be authoritative,No database table/field literal in this auth/client usage,No direct table/storage permission check in this client initialization; downstream calls determine risk,src/app/api/google-drive/upload/route.ts:16; POST; createClient(...); No direct Supabase public-table query in this usage; Not applicable,Strong Evidence,Yes,WD to confirm this is an approved canonical client path and verify environment/session separation,Static source evidence only. No direct Supabase public-table query in this usage. Not applicable. Safety basis: AUDIT_WORKSPACE_SAFETY_CHECKLIST.md; no live connection used.
SBU-041,Documents / Vault,Authorize Google Drive request,src/app/api/google-drive/upload/route.ts,POST,src/lib/supabase/server.ts,auth,supabase.auth.getSession(...),Supabase Auth,"session, user, access context",None identified,Current browser/server session or cookie context,Not applicable,No delete operation in this usage,None,None,getSession; user/session auth context,Yes,Not applicable - request scoped,Yes,All upload-capable modules,Probable,Probable,Needs WD Verification,"High - session, credential, redirect or user lifecycle behavior",Low,Low - no calculation logic in this usage,src/lib/supabase/server.ts,API route,Yes - 9 similar usages across 9 file(s); verify whether shared helper/service should be authoritative,No database table/field literal in this auth/client usage,"Supabase Auth endpoint; public-table RLS is not the direct boundary, but session/profile authorization Needs Himanshu Verification",src/app/api/google-drive/upload/route.ts:17; POST; supabase.auth.getSession(...); No direct Supabase public-table query in this usage; Not applicable,Strong Evidence,Yes,"Run isolated dummy-user auth flow and verify redirects, cookies, profile synchronization, error UI and logout/session restoration",Static source evidence only. No direct Supabase public-table query in this usage. Not applicable. Safety basis: AUDIT_WORKSPACE_SAFETY_CHECKLIST.md; no live connection used.
SBU-042,Documents / Vault,Initialize Supabase client/session boundary,src/app/api/google-drive/view/route.ts,GET,src/lib/supabase/server.ts,unknown,createClient(...),Supabase project client,Client configuration or imported helper,None - client initialization only,Client context and cookie/session options; exact runtime values not included,No payload argument,No delete operation in this usage,None,None,None,Yes,Not applicable - request scoped,Yes,All upload-capable modules,Probable,Probable,Needs WD Verification,High - client/session construction boundary,Low,Low - no calculation logic in this usage,src/lib/supabase/server.ts,API route,Yes - 29 similar usages across 27 file(s); verify whether shared helper/service should be authoritative,No database table/field literal in this auth/client usage,No direct table/storage permission check in this client initialization; downstream calls determine risk,src/app/api/google-drive/view/route.ts:18; GET; createClient(...); No direct Supabase public-table query in this usage; Not applicable,Strong Evidence,Yes,WD to confirm this is an approved canonical client path and verify environment/session separation,Static source evidence only. No direct Supabase public-table query in this usage. Not applicable. Safety basis: AUDIT_WORKSPACE_SAFETY_CHECKLIST.md; no live connection used.
SBU-043,Documents / Vault,Authorize Google Drive request,src/app/api/google-drive/view/route.ts,GET,src/lib/supabase/server.ts,auth,supabase.auth.getSession(...),Supabase Auth,"session, user, access context",None identified,Current browser/server session or cookie context,Not applicable,No delete operation in this usage,None,None,getSession; user/session auth context,Yes,Not applicable - request scoped,Yes,All upload-capable modules,Probable,Probable,Needs WD Verification,"High - session, credential, redirect or user lifecycle behavior",Low,Low - no calculation logic in this usage,src/lib/supabase/server.ts,API route,Yes - 9 similar usages across 9 file(s); verify whether shared helper/service should be authoritative,No database table/field literal in this auth/client usage,"Supabase Auth endpoint; public-table RLS is not the direct boundary, but session/profile authorization Needs Himanshu Verification",src/app/api/google-drive/view/route.ts:19; GET; supabase.auth.getSession(...); No direct Supabase public-table query in this usage; Not applicable,Strong Evidence,Yes,"Run isolated dummy-user auth flow and verify redirects, cookies, profile synchronization, error UI and logout/session restoration",Static source evidence only. No direct Supabase public-table query in this usage. Not applicable. Safety basis: AUDIT_WORKSPACE_SAFETY_CHECKLIST.md; no live connection used.
SBU-044,Profile / Foundation,Initialize Supabase client/session boundary,src/app/api/profile/route.ts,postHandler,src/lib/supabase/server.ts,unknown,createClient(...),Supabase project client,Client configuration or imported helper,None - client initialization only,Client context and cookie/session options; exact runtime values not included,No payload argument,No delete operation in this usage,None,None,None,Partial,Not applicable - request scoped,Not applicable,Auth; Rin; Raksha; Most user-owned modules,Probable,Probable,Probable,High - client/session construction boundary,Low,Low - no calculation logic in this usage,src/lib/supabase/server.ts,API route,Yes - 29 similar usages across 27 file(s); verify whether shared helper/service should be authoritative,No database table/field literal in this auth/client usage,No direct table/storage permission check in this client initialization; downstream calls determine risk,src/app/api/profile/route.ts:213; postHandler; createClient(...); No direct Supabase public-table query in this usage; Not applicable,Strong Evidence,Yes,WD to confirm this is an approved canonical client path and verify environment/session separation,Static source evidence only. No direct Supabase public-table query in this usage. Not applicable. Safety basis: AUDIT_WORKSPACE_SAFETY_CHECKLIST.md; no live connection used.
SBU-045,Profile / Foundation,Update Supabase Auth user metadata or password,src/app/api/profile/route.ts,postHandler,src/lib/supabase/server.ts,auth,supabase.auth.updateUser(...),Supabase Auth,Supabase Auth response - exact fields Needs WD Verification,password or user metadata supplied by caller,Auth method conditions in caller; Needs WD Verification,{ data: updateData },No delete operation in this usage,None,None,updateUser; user/session auth context,Partial,Not applicable - request scoped,Partial,Auth; Rin; Raksha; Most user-owned modules,Probable,Probable,Probable,"High - session, credential, redirect or user lifecycle behavior",Medium,Low - no calculation logic in this usage,src/lib/supabase/server.ts,API route,Yes - 5 similar usages across 4 file(s); verify whether shared helper/service should be authoritative,No database table/field literal in this auth/client usage,"Supabase Auth endpoint; public-table RLS is not the direct boundary, but session/profile authorization Needs Himanshu Verification",src/app/api/profile/route.ts:218; postHandler; supabase.auth.updateUser(...); No direct Supabase public-table query in this usage; Not applicable,Strong Evidence,Yes,"Run isolated dummy-user auth flow and verify redirects, cookies, profile synchronization, error UI and logout/session restoration",Static source evidence only. No direct Supabase public-table query in this usage. Not applicable. Safety basis: AUDIT_WORKSPACE_SAFETY_CHECKLIST.md; no live connection used.
SBU-046,Authentication,Initialize Supabase client/session boundary,src/components/auth/OAuthFragmentHandler.tsx,OAuthFragmentHandler,src/lib/supabase/client.ts,unknown,createClient(...),Supabase project client,Client configuration or imported helper,None - client initialization only,Client context and cookie/session options; exact runtime values not included,No payload argument,No delete operation in this usage,None,None,None,Partial,No,Yes,Profile / Foundation; Dashboard / Rajya; Protected routes; Documents / Vault,Yes,No,Probable,High - client/session construction boundary,Low,Low - no calculation logic in this usage,src/lib/supabase/client.ts,Direct Supabase call in page/component,Yes - 29 similar usages across 27 file(s); verify whether shared helper/service should be authoritative,No database table/field literal in this auth/client usage,No direct table/storage permission check in this client initialization; downstream calls determine risk,src/components/auth/OAuthFragmentHandler.tsx:9; OAuthFragmentHandler; createClient(...); No direct Supabase public-table query in this usage; Not applicable,Strong Evidence,Yes,WD to confirm this is an approved canonical client path and verify environment/session separation,Static source evidence only. No direct Supabase public-table query in this usage. Not applicable. Safety basis: AUDIT_WORKSPACE_SAFETY_CHECKLIST.md; no live connection used.
SBU-047,Authentication,Create browser session from tokens,src/components/auth/OAuthFragmentHandler.tsx,handleOAuthSession,src/lib/supabase/client.ts,auth,supabase.auth.setSession(...),Supabase Auth,Supabase Auth response - exact fields Needs WD Verification,access token and refresh token session,Auth method conditions in caller; Needs WD Verification,"{ access_token: accessToken, refresh_token: refreshToken, }",No delete operation in this usage,None,None,setSession; user/session auth context,Partial,No,Yes,Profile / Foundation; Dashboard / Rajya; Protected routes; Documents / Vault,Yes,No,Probable,"High - session, credential, redirect or user lifecycle behavior",Medium,Low - no calculation logic in this usage,src/lib/supabase/client.ts,Direct Supabase call in page/component,Yes - 2 similar usages across 2 file(s); verify whether shared helper/service should be authoritative,No database table/field literal in this auth/client usage,"Supabase Auth endpoint; public-table RLS is not the direct boundary, but session/profile authorization Needs Himanshu Verification",src/components/auth/OAuthFragmentHandler.tsx:37; handleOAuthSession; supabase.auth.setSession(...); No direct Supabase public-table query in this usage; Not applicable,Strong Evidence,Yes,"Run isolated dummy-user auth flow and verify redirects, cookies, profile synchronization, error UI and logout/session restoration",Static source evidence only. No direct Supabase public-table query in this usage. Not applicable. Safety basis: AUDIT_WORKSPACE_SAFETY_CHECKLIST.md; no live connection used.
