Relationship_ID,Constraint_Name,Child_Schema,Child_Table,Child_Column,Parent_Schema,Parent_Table,Parent_Column,Cardinality,On_Delete,On_Update,Child_Module,Parent_Module,Code_Usage_Evidence,Business_Relationship,Impact_If_Parent_Edited_or_Deleted,Confidence,Verification_Status
FK-054,rajya_scores_userId_fkey,public,rajya_scores,userId,public,users,id,Many-to-one is structurally probable; uniqueness/cardinality meaning Needs WD Verification,CASCADE,CASCADE,Rajya / scoring,Sthapana / Foundation and Auth,src/app/api/auth/google-callback/route.ts; src/app/api/auth/google-status/route.ts,rajya_scores.userId references users.id; business meaning beyond this structural fact Needs WD Verification,Deleting the parent cascades deletion to matching child rows; parent-key updates: CASCADE,Confirmed,Needs human verification of business ownership and live-state parity
FK-055,reminders_userId_fkey,public,reminders,userId,public,users,id,Many-to-one is structurally probable; uniqueness/cardinality meaning Needs WD Verification,CASCADE,CASCADE,Doot / module reminder workflows,Sthapana / Foundation and Auth,src/app/api/identity/reminders/route.ts; src/lib/services/reminderService.ts; src/app/api/auth/google-callback/route.ts; src/app/api/auth/google-status/route.ts,reminders.userId references users.id; business meaning beyond this structural fact Needs WD Verification,Deleting the parent cascades deletion to matching child rows; parent-key updates: CASCADE,Confirmed,Needs human verification of business ownership and live-state parity
FK-056,scheduled_reports_createdBy_fkey,public,scheduled_reports,createdBy,public,admin_users,id,Many-to-one is structurally probable; uniqueness/cardinality meaning Needs WD Verification,RESTRICT,CASCADE,Admin / platform capability - Needs WD Verification,Admin / platform capability - Needs WD Verification,No direct Prisma call found; structural evidence is FOREIGN_KEYS.csv and schema.sql,scheduled_reports.createdBy references admin_users.id; business meaning beyond this structural fact Needs WD Verification,Parent deletion is blocked while matching child rows exist; parent-key updates: CASCADE,Confirmed,Needs human verification of business ownership and live-state parity
FK-057,submodules_moduleId_fkey,public,submodules,moduleId,public,modules,id,Many-to-one is structurally probable; uniqueness/cardinality meaning Needs WD Verification,CASCADE,CASCADE,Admin / platform capability - Needs WD Verification,Admin / platform capability - Needs WD Verification,No direct Prisma call found; structural evidence is FOREIGN_KEYS.csv and schema.sql,submodules.moduleId references modules.id; business meaning beyond this structural fact Needs WD Verification,Deleting the parent cascades deletion to matching child rows; parent-key updates: CASCADE,Confirmed,Needs human verification of business ownership and live-state parity
FK-058,subscription_analytics_userId_fkey,public,subscription_analytics,userId,public,users,id,Many-to-one is structurally probable; uniqueness/cardinality meaning Needs WD Verification,CASCADE,CASCADE,Leakage,Sthapana / Foundation and Auth,src/app/api/auth/google-callback/route.ts; src/app/api/auth/google-status/route.ts,subscription_analytics.userId references users.id; business meaning beyond this structural fact Needs WD Verification,Deleting the parent cascades deletion to matching child rows; parent-key updates: CASCADE,Confirmed,Needs human verification of business ownership and live-state parity
FK-059,subscriptions_userId_fkey,public,subscriptions,userId,public,users,id,Many-to-one is structurally probable; uniqueness/cardinality meaning Needs WD Verification,CASCADE,CASCADE,Leakage / Vyaya,Sthapana / Foundation and Auth,src/lib/services/notificationService.ts; src/lib/services/subscriptionAnalyticsService.ts; src/app/api/auth/google-callback/route.ts; src/app/api/auth/google-status/route.ts,subscriptions.userId references users.id; business meaning beyond this structural fact Needs WD Verification,Deleting the parent cascades deletion to matching child rows; parent-key updates: CASCADE,Confirmed,Needs human verification of business ownership and live-state parity
FK-060,succession_emergency_userId_fkey,public,succession_emergency,userId,public,users,id,Many-to-one is structurally probable; uniqueness/cardinality meaning Needs WD Verification,CASCADE,CASCADE,Uttaradhikar Sabha / Succession,Sthapana / Foundation and Auth,src/app/api/succession/emergency/route.ts; src/app/api/auth/google-callback/route.ts; src/app/api/auth/google-status/route.ts,succession_emergency.userId references users.id; business meaning beyond this structural fact Needs WD Verification,Deleting the parent cascades deletion to matching child rows; parent-key updates: CASCADE,Confirmed,Needs human verification of business ownership and live-state parity
FK-061,succession_nominees_nomineeId_fkey,public,succession_nominees,nomineeId,public,family_members,id,Many-to-one is structurally probable; uniqueness/cardinality meaning Needs WD Verification,RESTRICT,CASCADE,Uttaradhikar Sabha / Succession,Sthapana / Foundation,src/app/api/succession/assets/route.ts; src/app/api/succession/nominees/[id]/route.ts; src/app/api/education/[id]/route.ts; src/app/api/identity/[id]/route.ts,succession_nominees.nomineeId references family_members.id; business meaning beyond this structural fact Needs WD Verification,Parent deletion is blocked while matching child rows exist; parent-key updates: CASCADE,Confirmed,Needs human verification of business ownership and live-state parity
FK-062,succession_nominees_userId_fkey,public,succession_nominees,userId,public,users,id,Many-to-one is structurally probable; uniqueness/cardinality meaning Needs WD Verification,CASCADE,CASCADE,Uttaradhikar Sabha / Succession,Sthapana / Foundation and Auth,src/app/api/succession/assets/route.ts; src/app/api/succession/nominees/[id]/route.ts; src/app/api/auth/google-callback/route.ts; src/app/api/auth/google-status/route.ts,succession_nominees.userId references users.id; business meaning beyond this structural fact Needs WD Verification,Deleting the parent cascades deletion to matching child rows; parent-key updates: CASCADE,Confirmed,Needs human verification of business ownership and live-state parity
FK-063,succession_wills_userId_fkey,public,succession_wills,userId,public,users,id,Many-to-one is structurally probable; uniqueness/cardinality meaning Needs WD Verification,CASCADE,CASCADE,Uttaradhikar Sabha / Succession,Sthapana / Foundation and Auth,src/app/api/succession/will/route.ts; src/app/api/auth/google-callback/route.ts; src/app/api/auth/google-status/route.ts,succession_wills.userId references users.id; business meaning beyond this structural fact Needs WD Verification,Deleting the parent cascades deletion to matching child rows; parent-key updates: CASCADE,Confirmed,Needs human verification of business ownership and live-state parity
FK-064,support_tickets_assignedTo_fkey,public,support_tickets,assignedTo,public,admin_users,id,Many-to-one is structurally probable; uniqueness/cardinality meaning Needs WD Verification,SET NULL,CASCADE,Admin / platform capability - Needs WD Verification,Admin / platform capability - Needs WD Verification,No direct Prisma call found; structural evidence is FOREIGN_KEYS.csv and schema.sql,support_tickets.assignedTo references admin_users.id; business meaning beyond this structural fact Needs WD Verification,Deleting the parent preserves the child and clears the foreign-key value; parent-key updates: CASCADE,Confirmed,Needs human verification of business ownership and live-state parity
FK-065,support_tickets_userId_fkey,public,support_tickets,userId,public,users,id,Many-to-one is structurally probable; uniqueness/cardinality meaning Needs WD Verification,CASCADE,CASCADE,Admin / platform capability - Needs WD Verification,Sthapana / Foundation and Auth,src/app/api/auth/google-callback/route.ts; src/app/api/auth/google-status/route.ts,support_tickets.userId references users.id; business meaning beyond this structural fact Needs WD Verification,Deleting the parent cascades deletion to matching child rows; parent-key updates: CASCADE,Confirmed,Needs human verification of business ownership and live-state parity
FK-066,system_parameters_updatedBy_fkey,public,system_parameters,updatedBy,public,admin_users,id,Many-to-one is structurally probable; uniqueness/cardinality meaning Needs WD Verification,SET NULL,CASCADE,Admin / platform capability - Needs WD Verification,Admin / platform capability - Needs WD Verification,No direct Prisma call found; structural evidence is FOREIGN_KEYS.csv and schema.sql,system_parameters.updatedBy references admin_users.id; business meaning beyond this structural fact Needs WD Verification,Deleting the parent preserves the child and clears the foreign-key value; parent-key updates: CASCADE,Confirmed,Needs human verification of business ownership and live-state parity
FK-067,tax_records_userId_fkey,public,tax_records,userId,public,users,id,Many-to-one is structurally probable; uniqueness/cardinality meaning Needs WD Verification,CASCADE,CASCADE,Kar,Sthapana / Foundation and Auth,src/app/api/tax/records/[id]/route.ts; src/app/api/tax/records/route.ts; src/app/api/auth/google-callback/route.ts; src/app/api/auth/google-status/route.ts,tax_records.userId references users.id; business meaning beyond this structural fact Needs WD Verification,Deleting the parent cascades deletion to matching child rows; parent-key updates: CASCADE,Confirmed,Needs human verification of business ownership and live-state parity
FK-068,ticket_responses_ticketId_fkey,public,ticket_responses,ticketId,public,support_tickets,id,Many-to-one is structurally probable; uniqueness/cardinality meaning Needs WD Verification,CASCADE,CASCADE,Admin / platform capability - Needs WD Verification,Admin / platform capability - Needs WD Verification,No direct Prisma call found; structural evidence is FOREIGN_KEYS.csv and schema.sql,ticket_responses.ticketId references support_tickets.id; business meaning beyond this structural fact Needs WD Verification,Deleting the parent cascades deletion to matching child rows; parent-key updates: CASCADE,Confirmed,Needs human verification of business ownership and live-state parity
FK-069,tutorial_analytics_tutorialId_fkey,public,tutorial_analytics,tutorialId,public,tutorials,id,Many-to-one is structurally probable; uniqueness/cardinality meaning Needs WD Verification,CASCADE,CASCADE,Admin / platform capability - Needs WD Verification,Admin / platform capability - Needs WD Verification,No direct Prisma call found; structural evidence is FOREIGN_KEYS.csv and schema.sql,tutorial_analytics.tutorialId references tutorials.id; business meaning beyond this structural fact Needs WD Verification,Deleting the parent cascades deletion to matching child rows; parent-key updates: CASCADE,Confirmed,Needs human verification of business ownership and live-state parity
FK-070,tutorial_completions_tutorialId_fkey,public,tutorial_completions,tutorialId,public,tutorials,id,Many-to-one is structurally probable; uniqueness/cardinality meaning Needs WD Verification,CASCADE,CASCADE,Admin / platform capability - Needs WD Verification,Admin / platform capability - Needs WD Verification,No direct Prisma call found; structural evidence is FOREIGN_KEYS.csv and schema.sql,tutorial_completions.tutorialId references tutorials.id; business meaning beyond this structural fact Needs WD Verification,Deleting the parent cascades deletion to matching child rows; parent-key updates: CASCADE,Confirmed,Needs human verification of business ownership and live-state parity
FK-071,tutorial_completions_userId_fkey,public,tutorial_completions,userId,public,users,id,Many-to-one is structurally probable; uniqueness/cardinality meaning Needs WD Verification,CASCADE,CASCADE,Admin / platform capability - Needs WD Verification,Sthapana / Foundation and Auth,src/app/api/auth/google-callback/route.ts; src/app/api/auth/google-status/route.ts,tutorial_completions.userId references users.id; business meaning beyond this structural fact Needs WD Verification,Deleting the parent cascades deletion to matching child rows; parent-key updates: CASCADE,Confirmed,Needs human verification of business ownership and live-state parity
FK-072,tutorials_createdBy_fkey,public,tutorials,createdBy,public,admin_users,id,Many-to-one is structurally probable; uniqueness/cardinality meaning Needs WD Verification,RESTRICT,CASCADE,Admin / platform capability - Needs WD Verification,Admin / platform capability - Needs WD Verification,No direct Prisma call found; structural evidence is FOREIGN_KEYS.csv and schema.sql,tutorials.createdBy references admin_users.id; business meaning beyond this structural fact Needs WD Verification,Parent deletion is blocked while matching child rows exist; parent-key updates: CASCADE,Confirmed,Needs human verification of business ownership and live-state parity
FK-073,tutorials_submoduleId_fkey,public,tutorials,submoduleId,public,submodules,id,Many-to-one is structurally probable; uniqueness/cardinality meaning Needs WD Verification,CASCADE,CASCADE,Admin / platform capability - Needs WD Verification,Admin / platform capability - Needs WD Verification,No direct Prisma call found; structural evidence is FOREIGN_KEYS.csv and schema.sql,tutorials.submoduleId references submodules.id; business meaning beyond this structural fact Needs WD Verification,Deleting the parent cascades deletion to matching child rows; parent-key updates: CASCADE,Confirmed,Needs human verification of business ownership and live-state parity
FK-074,user_chapter_progress_submoduleId_fkey,public,user_chapter_progress,submoduleId,public,submodules,id,Many-to-one is structurally probable; uniqueness/cardinality meaning Needs WD Verification,CASCADE,CASCADE,Admin / platform capability - Needs WD Verification,Admin / platform capability - Needs WD Verification,No direct Prisma call found; structural evidence is FOREIGN_KEYS.csv and schema.sql,user_chapter_progress.submoduleId references submodules.id; business meaning beyond this structural fact Needs WD Verification,Deleting the parent cascades deletion to matching child rows; parent-key updates: CASCADE,Confirmed,Needs human verification of business ownership and live-state parity
FK-075,user_chapter_progress_userId_fkey,public,user_chapter_progress,userId,public,users,id,Many-to-one is structurally probable; uniqueness/cardinality meaning Needs WD Verification,CASCADE,CASCADE,Admin / platform capability - Needs WD Verification,Sthapana / Foundation and Auth,src/app/api/auth/google-callback/route.ts; src/app/api/auth/google-status/route.ts,user_chapter_progress.userId references users.id; business meaning beyond this structural fact Needs WD Verification,Deleting the parent cascades deletion to matching child rows; parent-key updates: CASCADE,Confirmed,Needs human verification of business ownership and live-state parity
FK-076,user_cohorts_cohortId_fkey,public,user_cohorts,cohortId,public,cohorts,id,Many-to-one is structurally probable; uniqueness/cardinality meaning Needs WD Verification,CASCADE,CASCADE,Admin / platform capability - Needs WD Verification,Admin / platform capability - Needs WD Verification,No direct Prisma call found; structural evidence is FOREIGN_KEYS.csv and schema.sql,user_cohorts.cohortId references cohorts.id; business meaning beyond this structural fact Needs WD Verification,Deleting the parent cascades deletion to matching child rows; parent-key updates: CASCADE,Confirmed,Needs human verification of business ownership and live-state parity
FK-077,user_cohorts_userId_fkey,public,user_cohorts,userId,public,users,id,Many-to-one is structurally probable; uniqueness/cardinality meaning Needs WD Verification,CASCADE,CASCADE,Admin / platform capability - Needs WD Verification,Sthapana / Foundation and Auth,src/app/api/auth/google-callback/route.ts; src/app/api/auth/google-status/route.ts,user_cohorts.userId references users.id; business meaning beyond this structural fact Needs WD Verification,Deleting the parent cascades deletion to matching child rows; parent-key updates: CASCADE,Confirmed,Needs human verification of business ownership and live-state parity
FK-078,user_feedback_userId_fkey,public,user_feedback,userId,public,users,id,Many-to-one is structurally probable; uniqueness/cardinality meaning Needs WD Verification,CASCADE,CASCADE,Admin / platform capability - Needs WD Verification,Sthapana / Foundation and Auth,src/app/api/auth/google-callback/route.ts; src/app/api/auth/google-status/route.ts,user_feedback.userId references users.id; business meaning beyond this structural fact Needs WD Verification,Deleting the parent cascades deletion to matching child rows; parent-key updates: CASCADE,Confirmed,Needs human verification of business ownership and live-state parity
FK-079,user_module_progress_moduleId_fkey,public,user_module_progress,moduleId,public,modules,id,Many-to-one is structurally probable; uniqueness/cardinality meaning Needs WD Verification,CASCADE,CASCADE,Admin / platform capability - Needs WD Verification,Admin / platform capability - Needs WD Verification,No direct Prisma call found; structural evidence is FOREIGN_KEYS.csv and schema.sql,user_module_progress.moduleId references modules.id; business meaning beyond this structural fact Needs WD Verification,Deleting the parent cascades deletion to matching child rows; parent-key updates: CASCADE,Confirmed,Needs human verification of business ownership and live-state parity
FK-080,user_module_progress_userId_fkey,public,user_module_progress,userId,public,users,id,Many-to-one is structurally probable; uniqueness/cardinality meaning Needs WD Verification,CASCADE,CASCADE,Admin / platform capability - Needs WD Verification,Sthapana / Foundation and Auth,src/app/api/auth/google-callback/route.ts; src/app/api/auth/google-status/route.ts,user_module_progress.userId references users.id; business meaning beyond this structural fact Needs WD Verification,Deleting the parent cascades deletion to matching child rows; parent-key updates: CASCADE,Confirmed,Needs human verification of business ownership and live-state parity
FK-081,user_sessions_userId_fkey,public,user_sessions,userId,public,users,id,Many-to-one is structurally probable; uniqueness/cardinality meaning Needs WD Verification,CASCADE,CASCADE,Admin / platform capability - Needs WD Verification,Sthapana / Foundation and Auth,src/app/api/auth/google-callback/route.ts; src/app/api/auth/google-status/route.ts,user_sessions.userId references users.id; business meaning beyond this structural fact Needs WD Verification,Deleting the parent cascades deletion to matching child rows; parent-key updates: CASCADE,Confirmed,Needs human verification of business ownership and live-state parity
FK-082,will_status_userId_fkey,public,will_status,userId,public,users,id,Many-to-one is structurally probable; uniqueness/cardinality meaning Needs WD Verification,CASCADE,CASCADE,Mitra,Sthapana / Foundation and Auth,src/lib/services/notificationService.ts; src/lib/services/willService.ts; src/app/api/auth/google-callback/route.ts; src/app/api/auth/google-status/route.ts,will_status.userId references users.id; business meaning beyond this structural fact Needs WD Verification,Deleting the parent cascades deletion to matching child rows; parent-key updates: CASCADE,Confirmed,Needs human verification of business ownership and live-state parity
