Schema,Table,Table_Type,Column_Count,Primary_Key,Outgoing_FK_Count,Incoming_FK_Count,Prisma_Model,Observed_Code_Usage,Proposed_Module_Owner,Ownership_Evidence,Other_Module_Dependencies,RLS_Evidence,Trigger_or_Function_Evidence,Data_Sensitivity,Usage_Status,Confidence,Verification_Status
public,property_assets,BASE TABLE,19,id,1,0,PropertyAsset,src/app/api/nominee/assets/route.ts; src/app/api/succession/assets/route.ts; src/lib/services/bhoomiService.ts,Bhoomi,Direct Prisma usage plus audit-output/01-repository-and-architecture/MODULE_TO_FILE_MAP.csv,Sthapana / Foundation and Auth,"No public-table policy row in supplied RLS_POLICIES.csv; this describes the export only, not live state",No public-table trigger/function row in supplied exports; 21 supplied functions and 5 triggers are Supabase auth/storage system objects,"Potential personal, financial, credential, or document metadata; classification Needs WD Verification",Direct Prisma usage found in snapshot,Confirmed,Needs human verification of ownership and live-state parity
public,questions,BASE TABLE,17,id,3,1,Question,No direct prisma.<model> call found under src; model exists in prisma/schema.prisma,Admin / platform capability - Needs WD Verification,Ownership is proposed from schema/team inventory and requires WD confirmation; audit-input/01-database-structure/DATABASE_TABLE_INVENTORY.csv,Admin / platform capability - Needs WD Verification,"No public-table policy row in supplied RLS_POLICIES.csv; this describes the export only, not live state",No public-table trigger/function row in supplied exports; 21 supplied functions and 5 triggers are Supabase auth/storage system objects,No high-risk name detected from metadata alone; Needs WD Verification,No direct Prisma usage found; not proof of non-use,Unconfirmed,Needs WD Verification
public,quiz_answers,BASE TABLE,6,id,2,0,QuizAnswer,No direct prisma.<model> call found under src; model exists in prisma/schema.prisma,Admin / platform capability - Needs WD Verification,Ownership is proposed from schema/team inventory and requires WD confirmation; audit-input/01-database-structure/DATABASE_TABLE_INVENTORY.csv,Admin / platform capability - Needs WD Verification; Sthapana / Foundation and Auth,"No public-table policy row in supplied RLS_POLICIES.csv; this describes the export only, not live state",No public-table trigger/function row in supplied exports; 21 supplied functions and 5 triggers are Supabase auth/storage system objects,"Potential personal, financial, credential, or document metadata; classification Needs WD Verification",No direct Prisma usage found; not proof of non-use,Unconfirmed,Needs WD Verification
public,rajya_scores,BASE TABLE,16,id,1,0,RajyaScore,No direct prisma.<model> call found under src; model exists in prisma/schema.prisma,Rajya / scoring,Ownership is proposed from schema/team inventory and requires WD confirmation; audit-input/01-database-structure/DATABASE_TABLE_INVENTORY.csv,Sthapana / Foundation and Auth,"No public-table policy row in supplied RLS_POLICIES.csv; this describes the export only, not live state",No public-table trigger/function row in supplied exports; 21 supplied functions and 5 triggers are Supabase auth/storage system objects,No high-risk name detected from metadata alone; Needs WD Verification,No direct Prisma usage found; not proof of non-use,Probable,Needs WD Verification
public,reminders,BASE TABLE,12,id,1,0,Reminder,src/app/api/identity/reminders/route.ts; src/lib/services/reminderService.ts,Doot / module reminder workflows,Direct Prisma usage plus audit-output/01-repository-and-architecture/MODULE_TO_FILE_MAP.csv,Sthapana / Foundation and Auth,"No public-table policy row in supplied RLS_POLICIES.csv; this describes the export only, not live state",No public-table trigger/function row in supplied exports; 21 supplied functions and 5 triggers are Supabase auth/storage system objects,No high-risk name detected from metadata alone; Needs WD Verification,Direct Prisma usage found in snapshot,Strong Evidence,Needs WD Verification
public,scheduled_reports,BASE TABLE,10,id,1,0,ScheduledReport,No direct prisma.<model> call found under src; model exists in prisma/schema.prisma,Admin / platform capability - Needs WD Verification,Ownership is proposed from schema/team inventory and requires WD confirmation; audit-input/01-database-structure/DATABASE_TABLE_INVENTORY.csv,Admin / platform capability - Needs WD Verification,"No public-table policy row in supplied RLS_POLICIES.csv; this describes the export only, not live state",No public-table trigger/function row in supplied exports; 21 supplied functions and 5 triggers are Supabase auth/storage system objects,No high-risk name detected from metadata alone; Needs WD Verification,No direct Prisma usage found; not proof of non-use,Unconfirmed,Needs WD Verification
public,submodules,BASE TABLE,15,id,1,3,Submodule,No direct prisma.<model> call found under src; model exists in prisma/schema.prisma,Admin / platform capability - Needs WD Verification,Ownership is proposed from schema/team inventory and requires WD confirmation; audit-input/01-database-structure/DATABASE_TABLE_INVENTORY.csv,Admin / platform capability - Needs WD Verification,"No public-table policy row in supplied RLS_POLICIES.csv; this describes the export only, not live state",No public-table trigger/function row in supplied exports; 21 supplied functions and 5 triggers are Supabase auth/storage system objects,No high-risk name detected from metadata alone; Needs WD Verification,No direct Prisma usage found; not proof of non-use,Unconfirmed,Needs WD Verification
public,subscription_analytics,BASE TABLE,10,id,1,0,SubscriptionAnalytics,No direct prisma.<model> call found under src; model exists in prisma/schema.prisma,Leakage,Ownership is proposed from schema/team inventory and requires WD confirmation; audit-input/01-database-structure/DATABASE_TABLE_INVENTORY.csv,Sthapana / Foundation and Auth,"No public-table policy row in supplied RLS_POLICIES.csv; this describes the export only, not live state",No public-table trigger/function row in supplied exports; 21 supplied functions and 5 triggers are Supabase auth/storage system objects,No high-risk name detected from metadata alone; Needs WD Verification,No direct Prisma usage found; not proof of non-use,Strong Evidence,Needs WD Verification
public,subscriptions,BASE TABLE,22,id,1,0,Subscription,src/lib/services/notificationService.ts; src/lib/services/subscriptionAnalyticsService.ts; src/lib/services/subscriptionService.ts,Leakage / Vyaya,Direct Prisma usage plus audit-output/01-repository-and-architecture/MODULE_TO_FILE_MAP.csv,Sthapana / Foundation and Auth,"No public-table policy row in supplied RLS_POLICIES.csv; this describes the export only, not live state",No public-table trigger/function row in supplied exports; 21 supplied functions and 5 triggers are Supabase auth/storage system objects,"Potential personal, financial, credential, or document metadata; classification Needs WD Verification",Direct Prisma usage found in snapshot,Strong Evidence,Needs WD Verification
public,succession_emergency,BASE TABLE,10,id,1,0,SuccessionEmergency,src/app/api/succession/emergency/route.ts,Uttaradhikar Sabha / Succession,Direct Prisma usage plus audit-output/01-repository-and-architecture/MODULE_TO_FILE_MAP.csv,Sthapana / Foundation and Auth,"No public-table policy row in supplied RLS_POLICIES.csv; this describes the export only, not live state",No public-table trigger/function row in supplied exports; 21 supplied functions and 5 triggers are Supabase auth/storage system objects,"Potential personal, financial, credential, or document metadata; classification Needs WD Verification",Direct Prisma usage found in snapshot,Confirmed,Needs human verification of ownership and live-state parity
public,succession_nominees,BASE TABLE,10,id,2,0,SuccessionNominee,src/app/api/succession/assets/route.ts; src/app/api/succession/nominees/[id]/route.ts; src/app/api/succession/nominees/route.ts,Uttaradhikar Sabha / Succession,Direct Prisma usage plus audit-output/01-repository-and-architecture/MODULE_TO_FILE_MAP.csv,Sthapana / Foundation; Sthapana / Foundation and Auth,"No public-table policy row in supplied RLS_POLICIES.csv; this describes the export only, not live state",No public-table trigger/function row in supplied exports; 21 supplied functions and 5 triggers are Supabase auth/storage system objects,No high-risk name detected from metadata alone; Needs WD Verification,Direct Prisma usage found in snapshot,Confirmed,Needs human verification of ownership and live-state parity
public,succession_wills,BASE TABLE,14,id,1,0,SuccessionWill,src/app/api/succession/will/route.ts,Uttaradhikar Sabha / Succession,Direct Prisma usage plus audit-output/01-repository-and-architecture/MODULE_TO_FILE_MAP.csv,Sthapana / Foundation and Auth,"No public-table policy row in supplied RLS_POLICIES.csv; this describes the export only, not live state",No public-table trigger/function row in supplied exports; 21 supplied functions and 5 triggers are Supabase auth/storage system objects,"Potential personal, financial, credential, or document metadata; classification Needs WD Verification",Direct Prisma usage found in snapshot,Confirmed,Needs human verification of ownership and live-state parity
public,support_tickets,BASE TABLE,16,id,2,1,SupportTicket,No direct prisma.<model> call found under src; model exists in prisma/schema.prisma,Admin / platform capability - Needs WD Verification,Ownership is proposed from schema/team inventory and requires WD confirmation; audit-input/01-database-structure/DATABASE_TABLE_INVENTORY.csv,Admin / platform capability - Needs WD Verification; Sthapana / Foundation and Auth,"No public-table policy row in supplied RLS_POLICIES.csv; this describes the export only, not live state",No public-table trigger/function row in supplied exports; 21 supplied functions and 5 triggers are Supabase auth/storage system objects,No high-risk name detected from metadata alone; Needs WD Verification,No direct Prisma usage found; not proof of non-use,Unconfirmed,Needs WD Verification
public,system_parameters,BASE TABLE,10,id,1,0,SystemParameter,No direct prisma.<model> call found under src; model exists in prisma/schema.prisma,Admin / platform capability - Needs WD Verification,Ownership is proposed from schema/team inventory and requires WD confirmation; audit-input/01-database-structure/DATABASE_TABLE_INVENTORY.csv,Admin / platform capability - Needs WD Verification,"No public-table policy row in supplied RLS_POLICIES.csv; this describes the export only, not live state",No public-table trigger/function row in supplied exports; 21 supplied functions and 5 triggers are Supabase auth/storage system objects,"Potential personal, financial, credential, or document metadata; classification Needs WD Verification",No direct Prisma usage found; not proof of non-use,Unconfirmed,Needs WD Verification
public,system_settings,BASE TABLE,5,id,0,0,SystemSetting,No direct prisma.<model> call found under src; model exists in prisma/schema.prisma,Admin / platform capability - Needs WD Verification,Ownership is proposed from schema/team inventory and requires WD confirmation; audit-input/01-database-structure/DATABASE_TABLE_INVENTORY.csv,No FK-based module dependency in supplied export,"No public-table policy row in supplied RLS_POLICIES.csv; this describes the export only, not live state",No public-table trigger/function row in supplied exports; 21 supplied functions and 5 triggers are Supabase auth/storage system objects,"Potential personal, financial, credential, or document metadata; classification Needs WD Verification",No direct Prisma usage found; not proof of non-use,Unconfirmed,Needs WD Verification
public,tax_records,BASE TABLE,16,id,1,0,TaxRecord,src/app/api/tax/records/[id]/route.ts; src/app/api/tax/records/route.ts,Kar,Direct Prisma usage plus audit-output/01-repository-and-architecture/MODULE_TO_FILE_MAP.csv,Sthapana / Foundation and Auth,"No public-table policy row in supplied RLS_POLICIES.csv; this describes the export only, not live state",No public-table trigger/function row in supplied exports; 21 supplied functions and 5 triggers are Supabase auth/storage system objects,"Potential personal, financial, credential, or document metadata; classification Needs WD Verification",Direct Prisma usage found in snapshot,Confirmed,Needs human verification of ownership and live-state parity
public,ticket_responses,BASE TABLE,7,id,1,0,TicketResponse,No direct prisma.<model> call found under src; model exists in prisma/schema.prisma,Admin / platform capability - Needs WD Verification,Ownership is proposed from schema/team inventory and requires WD confirmation; audit-input/01-database-structure/DATABASE_TABLE_INVENTORY.csv,Admin / platform capability - Needs WD Verification,"No public-table policy row in supplied RLS_POLICIES.csv; this describes the export only, not live state",No public-table trigger/function row in supplied exports; 21 supplied functions and 5 triggers are Supabase auth/storage system objects,No high-risk name detected from metadata alone; Needs WD Verification,No direct Prisma usage found; not proof of non-use,Unconfirmed,Needs WD Verification
public,tutorial_analytics,BASE TABLE,7,id,1,0,TutorialAnalytics,No direct prisma.<model> call found under src; model exists in prisma/schema.prisma,Admin / platform capability - Needs WD Verification,Ownership is proposed from schema/team inventory and requires WD confirmation; audit-input/01-database-structure/DATABASE_TABLE_INVENTORY.csv,Admin / platform capability - Needs WD Verification,"No public-table policy row in supplied RLS_POLICIES.csv; this describes the export only, not live state",No public-table trigger/function row in supplied exports; 21 supplied functions and 5 triggers are Supabase auth/storage system objects,No high-risk name detected from metadata alone; Needs WD Verification,No direct Prisma usage found; not proof of non-use,Unconfirmed,Needs WD Verification
public,tutorial_completions,BASE TABLE,6,id,2,0,TutorialCompletion,No direct prisma.<model> call found under src; model exists in prisma/schema.prisma,Admin / platform capability - Needs WD Verification,Ownership is proposed from schema/team inventory and requires WD confirmation; audit-input/01-database-structure/DATABASE_TABLE_INVENTORY.csv,Admin / platform capability - Needs WD Verification; Sthapana / Foundation and Auth,"No public-table policy row in supplied RLS_POLICIES.csv; this describes the export only, not live state",No public-table trigger/function row in supplied exports; 21 supplied functions and 5 triggers are Supabase auth/storage system objects,No high-risk name detected from metadata alone; Needs WD Verification,No direct Prisma usage found; not proof of non-use,Unconfirmed,Needs WD Verification
public,tutorials,BASE TABLE,22,id,2,2,Tutorial,No direct prisma.<model> call found under src; model exists in prisma/schema.prisma,Admin / platform capability - Needs WD Verification,Ownership is proposed from schema/team inventory and requires WD confirmation; audit-input/01-database-structure/DATABASE_TABLE_INVENTORY.csv,Admin / platform capability - Needs WD Verification,"No public-table policy row in supplied RLS_POLICIES.csv; this describes the export only, not live state",No public-table trigger/function row in supplied exports; 21 supplied functions and 5 triggers are Supabase auth/storage system objects,No high-risk name detected from metadata alone; Needs WD Verification,No direct Prisma usage found; not proof of non-use,Unconfirmed,Needs WD Verification
public,user_chapter_progress,BASE TABLE,10,id,2,0,UserChapterProgress,No direct prisma.<model> call found under src; model exists in prisma/schema.prisma,Admin / platform capability - Needs WD Verification,Ownership is proposed from schema/team inventory and requires WD confirmation; audit-input/01-database-structure/DATABASE_TABLE_INVENTORY.csv,Admin / platform capability - Needs WD Verification; Sthapana / Foundation and Auth,"No public-table policy row in supplied RLS_POLICIES.csv; this describes the export only, not live state",No public-table trigger/function row in supplied exports; 21 supplied functions and 5 triggers are Supabase auth/storage system objects,No high-risk name detected from metadata alone; Needs WD Verification,No direct Prisma usage found; not proof of non-use,Unconfirmed,Needs WD Verification
public,user_cohorts,BASE TABLE,5,id,2,0,UserCohort,No direct prisma.<model> call found under src; model exists in prisma/schema.prisma,Admin / platform capability - Needs WD Verification,Ownership is proposed from schema/team inventory and requires WD confirmation; audit-input/01-database-structure/DATABASE_TABLE_INVENTORY.csv,Admin / platform capability - Needs WD Verification; Sthapana / Foundation and Auth,"No public-table policy row in supplied RLS_POLICIES.csv; this describes the export only, not live state",No public-table trigger/function row in supplied exports; 21 supplied functions and 5 triggers are Supabase auth/storage system objects,No high-risk name detected from metadata alone; Needs WD Verification,No direct Prisma usage found; not proof of non-use,Unconfirmed,Needs WD Verification
public,user_feedback,BASE TABLE,9,id,1,0,UserFeedback,No direct prisma.<model> call found under src; model exists in prisma/schema.prisma,Admin / platform capability - Needs WD Verification,Ownership is proposed from schema/team inventory and requires WD confirmation; audit-input/01-database-structure/DATABASE_TABLE_INVENTORY.csv,Sthapana / Foundation and Auth,"No public-table policy row in supplied RLS_POLICIES.csv; this describes the export only, not live state",No public-table trigger/function row in supplied exports; 21 supplied functions and 5 triggers are Supabase auth/storage system objects,No high-risk name detected from metadata alone; Needs WD Verification,No direct Prisma usage found; not proof of non-use,Unconfirmed,Needs WD Verification
public,user_module_progress,BASE TABLE,6,id,2,0,UserModuleProgress,No direct prisma.<model> call found under src; model exists in prisma/schema.prisma,Admin / platform capability - Needs WD Verification,Ownership is proposed from schema/team inventory and requires WD confirmation; audit-input/01-database-structure/DATABASE_TABLE_INVENTORY.csv,Admin / platform capability - Needs WD Verification; Sthapana / Foundation and Auth,"No public-table policy row in supplied RLS_POLICIES.csv; this describes the export only, not live state",No public-table trigger/function row in supplied exports; 21 supplied functions and 5 triggers are Supabase auth/storage system objects,No high-risk name detected from metadata alone; Needs WD Verification,No direct Prisma usage found; not proof of non-use,Unconfirmed,Needs WD Verification
public,user_sessions,BASE TABLE,10,id,1,0,UserSession,No direct prisma.<model> call found under src; model exists in prisma/schema.prisma,Admin / platform capability - Needs WD Verification,Ownership is proposed from schema/team inventory and requires WD confirmation; audit-input/01-database-structure/DATABASE_TABLE_INVENTORY.csv,Sthapana / Foundation and Auth,"No public-table policy row in supplied RLS_POLICIES.csv; this describes the export only, not live state",No public-table trigger/function row in supplied exports; 21 supplied functions and 5 triggers are Supabase auth/storage system objects,"Potential personal, financial, credential, or document metadata; classification Needs WD Verification",No direct Prisma usage found; not proof of non-use,Unconfirmed,Needs WD Verification
public,users,BASE TABLE,33,id,0,45,User,src/app/api/auth/google-callback/route.ts; src/app/api/auth/google-status/route.ts; src/app/api/auth/send-confirmation/route.ts; src/app/api/auth/send-otp/route.ts; src/app/api/auth/unlink-google/route.ts,Sthapana / Foundation and Auth,Direct Prisma usage plus audit-output/01-repository-and-architecture/MODULE_TO_FILE_MAP.csv,Analytics / activity; Sampatti; Pravah / Khate; Vyaya; Admin / platform capability - Needs WD Verification; Kunji / Dwaar; Kar; Cross-module document metadata; Sthapana / Foundation; Auth; Gamification; Lakshya; Pehchaan; Kosh; Raksha; Beej; Rin; Mitra; Doot / Notifications; Bhoomi; Rajya / scoring; Doot / module reminder workflows; Leakage; Leakage / Vyaya; Uttaradhikar Sabha / Succession,"No public-table policy row in supplied RLS_POLICIES.csv; this describes the export only, not live state",No public-table trigger/function row in supplied exports; 21 supplied functions and 5 triggers are Supabase auth/storage system objects,"Potential personal, financial, credential, or document metadata; classification Needs WD Verification",Direct Prisma usage found in snapshot,Confirmed,Needs human verification of ownership and live-state parity
public,weekly_analytics,BASE TABLE,10,id,0,0,WeeklyAnalytics,No direct prisma.<model> call found under src; model exists in prisma/schema.prisma,Analytics,Ownership is proposed from schema/team inventory and requires WD confirmation; audit-input/01-database-structure/DATABASE_TABLE_INVENTORY.csv,No FK-based module dependency in supplied export,"No public-table policy row in supplied RLS_POLICIES.csv; this describes the export only, not live state",No public-table trigger/function row in supplied exports; 21 supplied functions and 5 triggers are Supabase auth/storage system objects,No high-risk name detected from metadata alone; Needs WD Verification,No direct Prisma usage found; not proof of non-use,Unconfirmed,Needs WD Verification
public,will_status,BASE TABLE,10,id,1,0,WillStatus,src/lib/services/notificationService.ts; src/lib/services/willService.ts,Mitra,Direct Prisma usage plus audit-output/01-repository-and-architecture/MODULE_TO_FILE_MAP.csv,Sthapana / Foundation and Auth,"No public-table policy row in supplied RLS_POLICIES.csv; this describes the export only, not live state",No public-table trigger/function row in supplied exports; 21 supplied functions and 5 triggers are Supabase auth/storage system objects,"Potential personal, financial, credential, or document metadata; classification Needs WD Verification",Direct Prisma usage found in snapshot,Confirmed,Needs human verification of ownership and live-state parity
